rep,id,L,m,e,s,alpha,k,goes_down,mab_virus,run_id
1,8|462|vc|3|2|292,663.948,0.719995,0.192901,18.7119,0.313266,0.877192,False,69.0|292,462
1,8|462|vc|4|2|292,663.948,0.719995,0.192905,18.7119,0.313266,0.877192,False,69.0|292,462
1,8|462|vc|5|2|292,663.948,0.719995,0.192904,18.7119,0.313266,0.877192,False,69.0|292,462
1,8|462|vc|6|2|292,663.948,0.719995,0.192904,18.7119,0.313266,0.877192,False,69.0|292,462
1,8|462|vc|7|2|292,663.948,0.719995,0.192906,18.7119,0.313266,0.877192,False,69.0|292,462
1,8|462|vc|8|2|292,663.948,0.719995,0.192902,18.7119,0.313266,0.877192,False,69.0|292,462
1,8|75|cc|1|1|65,663.948,0.719995,0.0203096,18.7119,0.669194,2.26251,False,69.0|65,75
1,8|75|cc|2|1|65,663.948,0.719995,0.0203091,18.7119,0.669194,2.26251,False,69.0|65,75
1,8|75|cc|3|1|65,663.948,0.719995,0.0203097,18.7119,0.669194,2.26251,False,69.0|65,75
1,8|75|cc|4|1|65,663.948,0.719995,0.0203093,18.7119,0.669194,2.26251,False,69.0|65,75
1,8|75|cc|5|1|65,663.948,0.719995,0.0203097,18.7119,0.669194,2.26251,False,69.0|65,75
1,8|75|cc|6|1|65,663.948,0.719995,0.0203099,18.7119,0.669194,2.26251,False,69.0|65,75
1,8|75|cc|7|1|65,663.948,0.719995,0.0203094,18.7119,0.669194,2.26251,False,69.0|65,75
1,8|75|cc|8|1|65,663.948,0.719995,0.0203094,18.7119,0.669194,2.26251,False,69.0|65,75
1,8|75|sample|10|65,663.948,0.719998,0.00438168,18.7133,0.669194,2.26251,True,32.0|65,75
1,8|75|sample|11|65,663.948,0.719998,0.25836,18.7133,0.669194,2.26251,True,22.0|65,75
1,8|75|sample|12|65,663.948,0.719998,0.258363,18.7133,0.669194,2.26251,True,22.0|65,75
1,8|75|sample|3|65,663.948,0.719998,0.158931,18.7133,0.669194,2.26251,True,55.0|65,75
