rep,id,U,L,m,e,s,alpha,k,goes_down,mab_virus,run_id
1,8|488|sample|6|322,1,0.00456887,2.87168,0.0024261,1450.9,0.229281,0.000113729,True,55.0|322,488
1,8|488|sample|7|322,1,0.00456887,1.86918,0.00242561,1450.9,0.229281,0.000113729,True,32.0|322,488
1,8|488|sample|8|322,1,0.00456887,1.53376,0.00242561,1450.9,0.229281,0.000113729,True,32.0|322,488
1,8|488|sample|9|322,1,0.00456887,2.36869,0.00242561,1450.9,0.229281,0.000113729,True,32.0|322,488
1,8|488|vc|1|2|322,1,0.00456901,1.5386,0.00242611,1450.9,0.229281,0.000113729,False,69.0|322,488
1,8|488|vc|2|2|322,1,0.00456901,2.07336,0.00242611,1450.9,0.229281,0.000113729,False,69.0|322,488
1,8|488|vc|3|2|322,1,0.00456901,2.10347,0.00242611,1450.9,0.229281,0.000113729,False,69.0|322,488
1,8|488|vc|4|2|322,1,0.00456901,1.4826,0.00242611,1450.9,0.229281,0.000113729,False,69.0|322,488
1,8|488|vc|5|2|322,1,0.00456901,2.83888,0.00242611,1450.9,0.229281,0.000113729,False,69.0|322,488
1,8|488|vc|6|2|322,1,0.00456901,2.05034,0.00242611,1450.9,0.229281,0.000113729,False,69.0|322,488
1,8|488|vc|7|2|322,1,0.00456901,2.18609,0.00242611,1450.9,0.229281,0.000113729,False,69.0|322,488
1,8|488|vc|8|2|322,1,0.00456901,1.76326,0.00242611,1450.9,0.229281,0.000113729,False,69.0|322,488
1,8|847|cc|1|1|69,1,0.00456901,1.98536,0.00242611,1450.9,0.229275,0.000113731,False,69.0|69,847
1,8|847|cc|2|1|69,1,0.00456901,1.47363,0.00242611,1450.9,0.229275,0.000113731,False,69.0|69,847
1,8|847|cc|3|1|69,1,0.00456901,1.84992,0.00242611,1450.9,0.229275,0.000113731,False,69.0|69,847
1,8|847|cc|4|1|69,1,0.00456901,1.71047,0.00242611,1450.9,0.229275,0.000113731,False,69.0|69,847
1,8|847|cc|5|1|69,1,0.00456901,2.41024,0.00242611,1450.9,0.229275,0.000113731,False,69.0|69,847
1,8|847|cc|6|1|69,1,0.00456901,1.83535,0.00242611,1450.9,0.229275,0.000113731,False,69.0|69,847
1,8|847|cc|7|1|69,1,0.00456901,2.08506,0.00242611,1450.9,0.229275,0.000113731,False,69.0|69,847
1,8|847|cc|8|1|69,1,0.00456901,1.7409,0.00242611,1450.9,0.229275,0.000113731,False,69.0|69,847
1,8|847|sample|10|69,1,0.00456887,0.862175,0.0024248,1450.9,0.229275,0.000113731,True,32.0|69,847
1,8|847|sample|11|69,1,0.00456887,1.09137,0.00242606,1450.9,0.229275,0.000113731,True,22.0|69,847
1,8|847|sample|12|69,1,0.00456887,1.12417,0.00242606,1450.9,0.229275,0.000113731,True,22.0|69,847
1,8|847|sample|3|69,1,0.00456887,1.56575,0.00242609,1450.9,0.229275,0.000113731,True,55.0|69,847
1,8|847|sample|4|69,1,0.00456887,1.475,0.00242609,1450.9,0.229275,0.000113731,True,55.0|69,847
1,8|847|sample|5|69,1,0.00456887,2.96565,0.00242609,1450.9,0.229275,0.000113731,True,55.0|69,847
1,8|847|sample|6|69,1,0.00456887,2.9102,0.00242609,1450.9,0.229275,0.000113731,True,55.0|69,847
1,8|847|sample|7|69,1,0.00456887,0.886308,0.0024248,1450.9,0.229275,0.000113731,True,32.0|69,847
1,8|847|sample|8|69,1,0.00456887,0.905442,0.0024248,1450.9,0.229275,0.000113731,True,32.0|69,847
1,8|847|sample|9|69,1,0.00456887,0.89095,0.0024248,1450.9,0.229275,0.000113731,True,32.0|69,847
1,8|847|vc|1|2|69,1,0.00456901,1.04744,0.00242611,1450.9,0.229275,0.000113731,False,69.0|69,847
1,8|847|vc|2|2|69,1,0.00456901,2.11184,0.00242611,1450.9,0.229275,0.000113731,False,69.0|69,847
1,8|847|vc|3|2|69,1,0.00456901,1.79981,0.00242611,1450.9,0.229275,0.000113731,False,69.0|69,847
1,8|847|vc|4|2|69,1,0.00456901,3.11342,0.00242611,1450.9,0.229275,0.000113731,False,69.0|69,847
1,8|847|vc|5|2|69,1,0.00456901,2.31839,0.00242611,1450.9,0.229275,0.000113731,False,69.0|69,847
1,8|847|vc|6|2|69,1,0.00456901,1.66707,0.00242611,1450.9,0.229275,0.000113731,False,69.0|69,847
1,8|847|vc|7|2|69,1,0.00456901,2.29603,0.00242611,1450.9,0.229275,0.000113731,False,69.0|69,847
1,8|847|vc|8|2|69,1,0.00456901,1.87948,0.00242611,1450.9,0.229275,0.000113731,False,69.0|69,847
1,8|474|cc|1|1|276,1,0.00456901,1.92288,0.00242611,1450.9,0.229323,0.000113727,False,69.0|276,474
1,8|474|cc|2|1|276,1,0.00456901,2.2223,0.00242611,1450.9,0.229323,0.000113727,False,69.0|276,474
1,8|474|cc|3|1|276,1,0.00456901,1.90971,0.00242611,1450.9,0.229323,0.000113727,False,69.0|276,474
1,8|474|cc|4|1|276,1,0.00456901,1.7417,0.00242611,1450.9,0.229323,0.000113727,False,69.0|276,474
1,8|474|cc|5|1|276,1,0.00456901,2.16548,0.00242611,1450.9,0.229323,0.000113727,False,69.0|276,474
1,8|474|cc|6|1|276,1,0.00456901,1.78252,0.00242611,1450.9,0.229323,0.000113727,False,69.0|276,474
