rep,id,eta_U,eta_L,eta_h,eta_f,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,14|611|14|611|cc|1|1|73|1|73|69.0,0,5.59909e-08,-0.0470917,-15.6997,0,0,False,69.0|73,611
1,14|611|14|611|cc|2|1|73|1|73|69.0,0,-2.106e-08,0.0613185,55.1308,0,0,False,69.0|73,611
1,14|611|14|611|cc|3|1|73|1|73|69.0,0,-6.14544e-08,0.0332842,-7.69684,0,0,False,69.0|73,611
1,14|611|14|611|cc|4|1|73|1|73|69.0,0,-7.35666e-08,0.0105666,30.1719,0,0,False,69.0|73,611
1,14|611|14|611|cc|5|1|73|1|73|69.0,0,-2.35244e-08,-0.0695586,-6.1126,0,0,False,69.0|73,611
1,14|611|14|611|cc|6|1|73|1|73|69.0,0,1.86787e-10,0.0490214,-44.8219,0,0,False,69.0|73,611
1,14|611|14|611|cc|7|1|73|1|73|69.0,0,2.02646e-08,-0.0409713,-43.1577,0,0,False,69.0|73,611
1,14|611|14|611|cc|8|1|73|1|73|69.0,0,-3.92486e-08,0.0891448,8.37396,0,0,False,69.0|73,611
1,14|611|14|611|vc|1|2|73|2|73|69.0,0,-2.90487e-08,0.116278,-20.5091,0,0,False,69.0|73,611
1,14|611|14|611|vc|2|2|73|2|73|69.0,0,4.62192e-08,-0.051167,-20.1619,0,0,False,69.0|73,611
1,14|611|14|611|vc|3|2|73|2|73|69.0,0,-1.24716e-08,-0.0444467,32.6992,0,0,False,69.0|73,611
1,14|611|14|611|vc|4|2|73|2|73|69.0,0,3.26338e-09,0.0439883,-25.8437,0,0,False,69.0|73,611
1,14|611|14|611|vc|5|2|73|2|73|69.0,0,-2.15249e-08,0.0477387,18.9636,0,0,False,69.0|73,611
1,14|611|14|611|vc|6|2|73|2|73|69.0,0,3.89329e-08,-0.0433696,0.189494,0,0,False,69.0|73,611
1,14|611|14|611|vc|7|2|73|2|73|69.0,0,5.01316e-08,-0.138243,33.9936,0,0,False,69.0|73,611
1,14|611|14|611|vc|8|2|73|2|73|69.0,0,2.27434e-08,-0.133076,-3.41592,0,0,False,69.0|73,611
1,8|84|8|84|sample|5|162|5|162|55.0,0,4.23671e-08,-0.0527373,3.60657,0,0,True,55.0|162,84
1,8|84|8|84|sample|6|162|6|162|55.0,0,-8.51644e-08,-0.0964414,0.967663,0,0,True,55.0|162,84
1,8|84|8|84|sample|4|162|4|162|55.0,0,-3.15391e-08,0.00178528,9.6448,0,0,True,55.0|162,84
1,8|84|8|84|sample|3|162|3|162|55.0,0,3.07419e-08,-0.0631476,12.4932,0,0,True,55.0|162,84
1,8|84|8|84|sample|9|162|9|162|32.0,0,2.68825e-08,-0.0406184,0.220973,0,0,True,32.0|162,84
1,8|84|8|84|sample|10|162|10|162|32.0,0,-1.5167e-09,-0.120437,-2.44333,0,0,True,32.0|162,84
1,8|84|8|84|sample|7|162|7|162|32.0,0,-2.23719e-08,0.000381042,-0.703594,0,0,True,32.0|162,84
1,8|84|8|84|sample|8|162|8|162|32.0,0,5.54149e-08,-0.0123187,-4.054,0,0,True,32.0|162,84
1,8|84|8|84|sample|12|162|12|162|22.0,0,-5.16894e-08,0.0653919,5.72196,0,0,True,22.0|162,84
1,8|84|8|84|sample|11|162|11|162|22.0,0,-7.58769e-08,-0.0554682,0.948729,0,0,True,22.0|162,84
1,8|84|8|84|cc|1|1|162|1|162|69.0,0,2.74713e-09,0.0757314,5.07756,0,0,False,69.0|162,84
1,8|84|8|84|cc|2|1|162|1|162|69.0,0,1.97981e-08,-0.0404467,25.7678,0,0,False,69.0|162,84
1,8|84|8|84|cc|3|1|162|1|162|69.0,0,-9.05746e-08,-0.185313,-5.88743,0,0,False,69.0|162,84
1,8|84|8|84|cc|4|1|162|1|162|69.0,0,-1.97335e-08,-0.0360156,8.71551,0,0,False,69.0|162,84
1,8|84|8|84|cc|5|1|162|1|162|69.0,0,-1.63465e-08,0.0441991,-16.2549,0,0,False,69.0|162,84
1,8|84|8|84|cc|6|1|162|1|162|69.0,0,4.83527e-08,-0.0103392,-26.2247,0,0,False,69.0|162,84
1,8|84|8|84|cc|7|1|162|1|162|69.0,0,3.17334e-08,-0.0591882,-46.6777,0,0,False,69.0|162,84
1,8|84|8|84|cc|8|1|162|1|162|69.0,0,-5.72101e-08,0.0340735,-68.6277,0,0,False,69.0|162,84
1,8|84|8|84|vc|1|2|162|2|162|69.0,0,-1.13574e-08,-0.0625487,17.6309,0,0,False,69.0|162,84
1,8|84|8|84|vc|2|2|162|2|162|69.0,0,-1.0668e-08,0.00536443,39.6885,0,0,False,69.0|162,84
1,8|84|8|84|vc|3|2|162|2|162|69.0,0,-1.77305e-08,-0.0318539,-28.3504,0,0,False,69.0|162,84
1,8|84|8|84|vc|4|2|162|2|162|69.0,0,-1.25521e-08,-0.0861952,39.9907,0,0,False,69.0|162,84
1,8|84|8|84|vc|5|2|162|2|162|69.0,0,5.69688e-08,-0.149014,-16.27,0,0,False,69.0|162,84
1,8|84|8|84|vc|6|2|162|2|162|69.0,0,-5.99662e-08,-0.0270885,-74.8065,0,0,False,69.0|162,84
1,8|84|8|84|vc|7|2|162|2|162|69.0,0,2.1281e-09,-0.0118242,7.48853,0,0,False,69.0|162,84
1,8|84|8|84|vc|8|2|162|2|162|69.0,0,8.63037e-08,0.0303205,8.66103,0,0,False,69.0|162,84
1,8|1042|8|1042|sample|8|162|8|162|65.0,0,5.54586e-08,-0.0898631,-26.1125,0,0,True,65.0|162,1042
1,8|1042|8|1042|sample|7|162|7|162|65.0,0,-7.87225e-09,0.00897765,-22.7203,0,0,True,65.0|162,1042
1,8|1042|8|1042|sample|6|162|6|162|65.0,0,-2.70097e-08,-0.0709854,-41.5066,0,0,True,65.0|162,1042
1,8|1042|8|1042|sample|5|162|5|162|65.0,0,2.50847e-08,0.140599,20.4334,0,0,True,65.0|162,1042
1,8|1042|8|1042|sample|12|162|12|162|28.0,0,1.57702e-08,0.0734925,-26.3957,0,0,True,28.0|162,1042
1,8|1042|8|1042|sample|7|162|7|162|28.0,0,-3.0262e-08,0.0220128,26.271,0,0,True,28.0|162,1042
1,8|1042|8|1042|sample|11|162|11|162|28.0,0,-6.61237e-09,0.0465899,72.0824,0,0,True,28.0|162,1042
1,8|1042|8|1042|sample|9|162|9|162|28.0,0,3.07293e-08,-0.0764611,22.05,0,0,True,28.0|162,1042
1,8|1042|8|1042|sample|10|162|10|162|28.0,0,1.96178e-08,0.0111223,6.17919,0,0,True,28.0|162,1042
1,8|1042|8|1042|sample|4|162|4|162|22.0,0,1.37042e-08,0.0136509,-37.1874,0,0,True,22.0|162,1042
1,8|1042|8|1042|sample|3|162|3|162|22.0,0,-4.24346e-08,0.0282165,-3.28069,0,0,True,22.0|162,1042
1,8|1042|8|1042|sample|12|162|12|162|65.0,0,1.16171e-08,-0.0960735,8.75385,0,0,True,65.0|162,1042
1,8|1042|8|1042|cc|1|1|162|1|162|69.0,0,-2.74657e-08,0.0311225,-17.9973,0,0,False,69.0|162,1042
1,8|1042|8|1042|cc|2|1|162|1|162|69.0,0,-8.04793e-08,-0.0901168,-13.4716,0,0,False,69.0|162,1042
1,8|1042|8|1042|cc|3|1|162|1|162|69.0,0,7.8351e-08,0.0214276,-17.6823,0,0,False,69.0|162,1042
1,8|1042|8|1042|cc|4|1|162|1|162|69.0,0,5.48312e-10,-0.094115,20.1216,0,0,False,69.0|162,1042
1,8|1042|8|1042|cc|5|1|162|1|162|69.0,0,-1.15721e-07,0.0929037,-5.81618,0,0,False,69.0|162,1042
1,8|1042|8|1042|cc|6|1|162|1|162|69.0,0,4.52934e-08,0.0797016,13.0478,0,0,False,69.0|162,1042
1,8|1042|8|1042|cc|7|1|162|1|162|69.0,0,2.6639e-08,-0.0600237,8.64372,0,0,False,69.0|162,1042
1,8|1042|8|1042|cc|8|1|162|1|162|69.0,0,3.82742e-08,-0.0461264,-15.2199,0,0,False,69.0|162,1042
1,8|1042|8|1042|vc|1|2|162|2|162|69.0,0,7.83825e-09,-0.115856,37.6218,0,0,False,69.0|162,1042
1,8|1042|8|1042|vc|2|2|162|2|162|69.0,0,-3.21916e-09,-0.0374604,63.9723,0,0,False,69.0|162,1042
1,8|1042|8|1042|vc|3|2|162|2|162|69.0,0,-6.00336e-08,-0.101787,-35.3665,0,0,False,69.0|162,1042
1,8|1042|8|1042|vc|4|2|162|2|162|69.0,0,5.90084e-08,-0.00539448,-11.9444,0,0,False,69.0|162,1042
1,8|1042|8|1042|vc|5|2|162|2|162|69.0,0,-1.4765e-08,-0.0658578,22.0033,0,0,False,69.0|162,1042
1,8|1042|8|1042|vc|6|2|162|2|162|69.0,0,-2.39264e-08,0.00156949,16.4888,0,0,False,69.0|162,1042
1,8|1042|8|1042|vc|7|2|162|2|162|69.0,0,7.56414e-08,-0.137925,7.63144,0,0,False,69.0|162,1042
1,8|1042|8|1042|vc|8|2|162|2|162|69.0,0,2.52581e-08,0.0404866,27.0193,0,0,False,69.0|162,1042
1,8|719|8|719|sample|5|274|5|274|55.0,0,-4.69663e-09,-0.0679311,-10.8279,0,0,True,55.0|274,719
1,8|719|8|719|sample|6|274|6|274|55.0,0,3.17326e-08,0.0547759,74.6591,0,0,True,55.0|274,719
1,8|719|8|719|sample|3|274|3|274|55.0,0,-3.6282e-09,-0.144137,-30.7126,0,0,True,55.0|274,719
1,8|719|8|719|sample|4|274|4|274|55.0,0,-1.43041e-09,-0.0998584,-15.4647,0,0,True,55.0|274,719
1,8|719|8|719|sample|10|274|10|274|32.0,0,7.61906e-09,0.0614315,59.2786,0,0,True,32.0|274,719
1,8|719|8|719|sample|9|274|9|274|32.0,0,5.83009e-09,-0.129413,-14.4422,0,0,True,32.0|274,719
1,8|719|8|719|sample|8|274|8|274|32.0,0,-4.81314e-08,-0.131184,4.378,0,0,True,32.0|274,719
1,8|719|8|719|sample|7|274|7|274|32.0,0,8.04513e-08,0.0100967,-22.6575,0,0,True,32.0|274,719
1,8|719|8|719|sample|12|274|12|274|22.0,0,5.18344e-09,0.125359,-16.4323,0,0,True,22.0|274,719
1,8|719|8|719|sample|11|274|11|274|22.0,0,-7.84837e-09,0.133476,60.0499,0,0,True,22.0|274,719
1,8|719|8|719|cc|1|1|274|1|274|69.0,0,3.65249e-08,-0.0284028,41.3748,0,0,False,69.0|274,719
