rep,id,eta_L_gap,eta_m,eta_e,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,8|847|8|847|cc|3|1|69|1|69|69.0,-0.436987,1.95957e-08,-2.39229,0,0,False,69.0|69,847
1,8|847|8|847|cc|4|1|69|1|69|69.0,0.180555,1.04507e-08,1.85156,0,0,False,69.0|69,847
1,8|847|8|847|cc|5|1|69|1|69|69.0,-1.43943,3.79136e-08,-0.377192,0,0,False,69.0|69,847
1,8|847|8|847|cc|6|1|69|1|69|69.0,-2.0398,1.95449e-08,0.218362,0,0,False,69.0|69,847
1,8|847|8|847|cc|7|1|69|1|69|69.0,0.531286,1.42281e-08,-9.84045,0,0,False,69.0|69,847
1,8|847|8|847|cc|8|1|69|1|69|69.0,-1.37569,2.17123e-08,1.36785,0,0,False,69.0|69,847
1,8|847|8|847|vc|1|2|69|2|69|69.0,0.848854,-1.18242e-08,-2.14158,0,0,False,69.0|69,847
1,8|847|8|847|vc|2|2|69|2|69|69.0,0.165004,-3.44874e-08,4.76559,0,0,False,69.0|69,847
1,8|847|8|847|vc|3|2|69|2|69|69.0,-0.716496,9.99363e-09,-3.62517,0,0,False,69.0|69,847
1,8|847|8|847|vc|4|2|69|2|69|69.0,-0.440571,-2.46847e-08,0.959848,0,0,False,69.0|69,847
1,8|847|8|847|vc|5|2|69|2|69|69.0,-0.415789,1.95745e-08,2.34114,0,0,False,69.0|69,847
1,8|847|8|847|vc|6|2|69|2|69|69.0,0.0604714,-5.43877e-09,4.28356,0,0,False,69.0|69,847
1,8|847|8|847|vc|7|2|69|2|69|69.0,-1.21544,-4.4475e-09,-1.02311,0,0,False,69.0|69,847
1,8|847|8|847|vc|8|2|69|2|69|69.0,-1.14671,1.02567e-08,-0.707376,0,0,False,69.0|69,847
1,8|1241|8|1241|sample|8|69|8|69|65.0,-1.55981,4.86343e-08,-1.13293,0,0,True,65.0|69,1241
1,8|1241|8|1241|sample|7|69|7|69|65.0,0.664423,9.77927e-09,-0.91551,0,0,True,65.0|69,1241
1,8|1241|8|1241|sample|5|69|5|69|65.0,0.6897,-3.11408e-09,-0.94193,0,0,True,65.0|69,1241
1,8|1241|8|1241|sample|6|69|6|69|65.0,-2.49024,5.18653e-08,-0.946631,0,0,True,65.0|69,1241
1,8|1241|8|1241|sample|11|69|11|69|28.0,0.493161,1.72826e-08,-2.1176,0,0,True,28.0|69,1241
1,8|1241|8|1241|sample|12|69|12|69|28.0,-0.0965122,-8.11464e-09,-2.23822,0,0,True,28.0|69,1241
1,8|1241|8|1241|sample|9|69|9|69|28.0,0.469288,-9.77809e-09,-1.46436,0,0,True,28.0|69,1241
1,8|1241|8|1241|sample|10|69|10|69|28.0,0.0759898,-4.73232e-08,-1.72863,0,0,True,28.0|69,1241
1,8|1241|8|1241|sample|3|69|3|69|22.0,1.35929,1.81121e-08,-0.365902,0,0,True,22.0|69,1241
1,8|1241|8|1241|sample|4|69|4|69|22.0,-0.744009,-1.51054e-10,-0.608875,0,0,True,22.0|69,1241
1,8|1241|8|1241|sample|3|69|3|69|65.0,-0.614045,5.5743e-09,-0.697562,0,0,True,65.0|69,1241
1,8|1241|8|1241|sample|8|69|8|69|22.0,-0.804302,4.5314e-08,-3.30235,0,0,True,22.0|69,1241
1,8|1241|8|1241|cc|1|1|69|1|69|69.0,-0.402313,-3.21038e-08,-0.0834877,0,0,False,69.0|69,1241
1,8|1241|8|1241|cc|2|1|69|1|69|69.0,-0.852834,-1.91405e-08,-1.37248,0,0,False,69.0|69,1241
1,8|1241|8|1241|cc|3|1|69|1|69|69.0,-1.04802,-4.78368e-09,-11.0379,0,0,False,69.0|69,1241
1,8|1241|8|1241|cc|4|1|69|1|69|69.0,-1.90174,-2.16069e-09,-0.182355,0,0,False,69.0|69,1241
1,8|1241|8|1241|cc|5|1|69|1|69|69.0,0.104209,-9.66487e-09,-3.67889,0,0,False,69.0|69,1241
1,8|1241|8|1241|cc|6|1|69|1|69|69.0,1.13236,-2.66537e-08,-3.00915,0,0,False,69.0|69,1241
1,8|1241|8|1241|cc|7|1|69|1|69|69.0,-0.273267,-1.79182e-08,-1.55462,0,0,False,69.0|69,1241
1,8|1241|8|1241|cc|8|1|69|1|69|69.0,-0.660485,-2.82107e-09,-3.21649,0,0,False,69.0|69,1241
1,8|1241|8|1241|vc|1|2|69|2|69|69.0,-1.05581,1.82263e-08,-1.80901,0,0,False,69.0|69,1241
1,8|1241|8|1241|vc|2|2|69|2|69|69.0,-1.40984,-2.90118e-08,-1.26242,0,0,False,69.0|69,1241
1,8|1241|8|1241|vc|3|2|69|2|69|69.0,-0.314761,1.75913e-08,-2.95105,0,0,False,69.0|69,1241
1,8|1241|8|1241|vc|4|2|69|2|69|69.0,0.769139,-1.56256e-09,2.00208,0,0,False,69.0|69,1241
1,8|1241|8|1241|vc|5|2|69|2|69|69.0,-0.815115,-9.90188e-09,0.408725,0,0,False,69.0|69,1241
1,8|1241|8|1241|vc|6|2|69|2|69|69.0,-0.2746,-2.59008e-08,5.59365,0,0,False,69.0|69,1241
