id,eta_L_gap_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_gap_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
14|1099|14|1099|cc|2|1|73|1|73|69.0,7.01454e-10,-9.75243e-09,0.163296,0,0,3.55271e-15,1.15463e-14,1.69025e-07,0,0,False,69.0|73,1099
14|1099|14|1099|cc|3|1|73|1|73|69.0,-5.17812e-09,6.42531e-10,-0.262782,0,0,0,-1.14353e-14,-4.46111e-07,0,0,False,69.0|73,1099
14|1099|14|1099|cc|4|1|73|1|73|69.0,-4.67182e-09,-5.69589e-10,0.0940746,0,0,3.55271e-15,-3.77476e-15,3.56856e-07,0,0,False,69.0|73,1099
14|1099|14|1099|cc|5|1|73|1|73|69.0,2.01727e-09,-3.97441e-09,-0.463875,0,0,-3.55271e-15,6.55032e-15,-7.46335e-08,0,0,False,69.0|73,1099
14|1099|14|1099|cc|6|1|73|1|73|69.0,-4.04627e-10,3.89001e-09,0.0748225,0,0,-7.10543e-15,6.66134e-16,-2.94744e-09,0,0,False,69.0|73,1099
14|1099|14|1099|cc|7|1|73|1|73|69.0,-1.50227e-09,-1.0472e-09,-0.203404,0,0,1.77636e-15,-3.9968e-15,-3.53821e-07,0,0,False,69.0|73,1099
14|1099|14|1099|cc|8|1|73|1|73|69.0,1.17001e-09,-3.07996e-09,-0.388626,0,0,0,9.76996e-15,-1.35262e-07,0,0,False,69.0|73,1099
14|1099|14|1099|vc|1|2|73|2|73|69.0,5.63432e-09,7.14868e-10,-0.0769692,0,0,1.77636e-15,9.32587e-15,4.47725e-08,0,0,False,69.0|73,1099
14|1099|14|1099|vc|2|2|73|2|73|69.0,3.43202e-09,5.43395e-09,-0.00680418,0,0,3.55271e-15,-8.21565e-15,-5.05072e-07,0,0,False,69.0|73,1099
14|1099|14|1099|vc|3|2|73|2|73|69.0,-2.01951e-09,1.78238e-09,0.371596,0,0,-3.55271e-15,-2.22045e-16,1.46042e-07,0,0,False,69.0|73,1099
14|1099|14|1099|vc|4|2|73|2|73|69.0,-4.82284e-11,1.37417e-09,-0.307815,0,0,-3.55271e-15,-1.46549e-14,5.94179e-07,0,0,False,69.0|73,1099
14|1099|14|1099|vc|5|2|73|2|73|69.0,-6.22692e-10,-6.63067e-09,-0.0151846,0,0,2.4869e-13,1.47105e-12,-0.0155817,0,0,False,69.0|73,1099
14|1099|14|1099|vc|6|2|73|2|73|69.0,3.77174e-09,2.58425e-09,0.0337139,0,0,-3.55271e-15,5.10703e-15,-3.00749e-07,0,0,False,69.0|73,1099
14|1099|14|1099|vc|7|2|73|2|73|69.0,-2.83844e-09,-1.87668e-09,0.196098,0,0,0,-6.43929e-15,3.96013e-07,0,0,False,69.0|73,1099
14|1099|14|1099|vc|8|2|73|2|73|69.0,5.05761e-09,-7.96483e-10,-0.359551,0,0,1.77636e-15,1.33227e-15,6.52403e-07,0,0,False,69.0|73,1099
14|611|14|611|sample|4|73|4|73|6.0,5.37147e-10,7.69917e-09,6.06437,0,0,-1.42109e-14,-5.21805e-15,5.69442,0,0,True,6.0|73,611
14|611|14|611|sample|3|73|3|73|6.0,5.0802e-09,7.1668e-10,6.18346,0,0,-1.24345e-14,8.99281e-15,5.80569,0,0,True,6.0|73,611
14|611|14|611|sample|5|73|5|73|6.0,3.18982e-10,1.39067e-08,3.46985,0,0,-8.88178e-15,6.32827e-15,3.48162,0,0,True,6.0|73,611
14|611|14|611|sample|6|73|6|73|6.0,1.5208e-09,1.89754e-08,4.46035,0,0,5.32907e-15,-2.23155e-14,4.09682,0,0,True,6.0|73,611
14|611|14|611|sample|7|73|7|73|6.0,-4.9332e-09,-1.84673e-08,5.50124,0,0,0,6.27276e-14,5.3636,0,0,True,6.0|73,611
14|611|14|611|sample|8|73|8|73|6.0,6.00868e-10,2.11717e-08,7.42901,0,0,1.24345e-14,2.88658e-15,6.90017,0,0,True,6.0|73,611
14|611|14|611|sample|9|73|9|73|6.0,4.21815e-10,2.08315e-09,0.109618,0,0,-2.30926e-14,1.35114e-13,-0.0421891,0,0,True,6.0|73,611
14|611|14|611|sample|10|73|10|73|6.0,-3.36305e-09,-3.20507e-09,0.55846,0,0,9.59233e-14,6.69464e-14,0.445631,0,0,True,6.0|73,611
14|611|14|611|sample|12|73|12|73|6.0,-3.56979e-09,2.03411e-09,5.15258,0,0,8.88178e-15,2.14273e-14,5.17848,0,0,True,6.0|73,611
14|611|14|611|sample|11|73|11|73|6.0,5.39508e-09,-3.92106e-09,6.22919,0,0,1.42109e-14,1.60982e-14,5.89341,0,0,True,6.0|73,611
14|611|14|611|cc|1|1|73|1|73|69.0,-1.7637e-09,-1.18492e-10,0.304124,0,0,0,-8.88178e-16,2.87299e-07,0,0,False,69.0|73,611
14|611|14|611|cc|2|1|73|1|73|69.0,2.24589e-09,-4.90977e-09,-0.241096,0,0,0,-2.33147e-15,-2.79256e-07,0,0,False,69.0|73,611
14|611|14|611|cc|3|1|73|1|73|69.0,-3.78795e-09,-9.92396e-10,0.481912,0,0,3.55271e-15,-5.55112e-15,2.97551e-07,0,0,False,69.0|73,611
14|611|14|611|cc|4|1|73|1|73|69.0,-2.99205e-09,2.87276e-09,0.292302,0,0,0,1.55431e-15,-6.16238e-07,0,0,False,69.0|73,611
14|611|14|611|cc|5|1|73|1|73|69.0,9.64397e-10,-2.92755e-09,-0.0333375,0,0,3.55271e-15,2.44249e-15,1.83523e-07,0,0,False,69.0|73,611
14|611|14|611|cc|6|1|73|1|73|69.0,-4.66873e-09,-2.215e-09,-0.2957,0,0,-3.55271e-15,-1.22125e-15,-1.04082e-07,0,0,False,69.0|73,611
14|611|14|611|cc|7|1|73|1|73|69.0,2.65814e-10,-6.57402e-09,0.117286,0,0,-1.77636e-15,-8.43769e-15,-1.37301e-07,0,0,False,69.0|73,611
14|611|14|611|cc|8|1|73|1|73|69.0,1.21066e-09,-1.09315e-09,-0.0939259,0,0,-3.55271e-15,9.76996e-15,-6.29322e-08,0,0,False,69.0|73,611
14|611|14|611|vc|1|2|73|2|73|69.0,-2.98756e-09,-2.99523e-10,0.122236,0,0,-3.55271e-15,-9.99201e-15,3.64284e-07,0,0,False,69.0|73,611
14|611|14|611|vc|2|2|73|2|73|69.0,-1.26808e-09,1.47647e-09,-0.156562,0,0,3.55271e-15,5.55112e-16,-3.48007e-07,0,0,False,69.0|73,611
14|611|14|611|vc|3|2|73|2|73|69.0,1.58657e-09,-8.13146e-09,0.235342,0,0,0,3.77476e-15,6.73843e-07,0,0,False,69.0|73,611
14|611|14|611|vc|4|2|73|2|73|69.0,7.5423e-10,7.02774e-09,-0.416207,0,0,1.77636e-15,-8.65974e-15,-3.00908e-07,0,0,False,69.0|73,611
14|611|14|611|vc|5|2|73|2|73|69.0,-3.91949e-09,2.07316e-09,0.18425,0,0,-5.32907e-15,1.95399e-14,-1.84021e-07,0,0,False,69.0|73,611
14|611|14|611|vc|6|2|73|2|73|69.0,-2.71516e-09,-3.04121e-09,-0.276732,0,0,-5.32907e-15,1.55431e-15,-6.18229e-08,0,0,False,69.0|73,611
