rep,id,eta_L,eta_m,eta_e,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,8|322|vc|2|2|174,0,-3.28096e-06,2.22202,0,0,False,69.0|174,322
1,8|322|vc|3|2|174,0,-2.00628e-06,-0.794127,0,0,False,69.0|174,322
1,8|322|vc|4|2|174,0,2.42889e-05,7.26741,0,0,False,69.0|174,322
1,8|322|vc|5|2|174,0,-1.55871e-05,-1.70193,0,0,False,69.0|174,322
1,8|322|vc|6|2|174,0,-7.06112e-06,7.21518,0,0,False,69.0|174,322
1,8|322|vc|7|2|174,0,-3.9886e-06,-0.176928,0,0,False,69.0|174,322
1,8|322|vc|8|2|174,0,-4.60055e-06,-5.99884,0,0,False,69.0|174,322
1,8|963|cc|1|1|319,0,-1.49062e-05,3.08238,0,0,False,69.0|319,963
1,8|963|cc|2|1|319,0,1.94464e-05,0.789923,0,0,False,69.0|319,963
1,8|963|cc|3|1|319,0,8.92571e-06,5.04284,0,0,False,69.0|319,963
1,8|963|cc|4|1|319,0,8.34075e-06,13.7534,0,0,False,69.0|319,963
1,8|963|cc|5|1|319,0,4.67794e-06,1.22414,0,0,False,69.0|319,963
1,8|963|cc|6|1|319,0,4.41336e-06,-0.0628245,0,0,False,69.0|319,963
1,8|963|cc|7|1|319,0,2.14811e-05,3.34215,0,0,False,69.0|319,963
1,8|963|cc|8|1|319,0,-8.71741e-07,9.39505,0,0,False,69.0|319,963
1,8|963|sample|10|319,0,1.85168e-05,6.80932,0,0,True,32.0|319,963
1,8|963|sample|11|319,0,-7.50359e-06,-3.53565,0,0,True,22.0|319,963
1,8|963|sample|12|319,0,-3.69395e-06,3.31196,0,0,True,22.0|319,963
1,8|963|sample|3|319,0,4.74247e-07,3.54799,0,0,True,55.0|319,963
1,8|963|sample|4|319,0,1.29775e-05,6.87089,0,0,True,55.0|319,963
1,8|963|sample|5|319,0,-4.97421e-06,-5.41827,0,0,True,55.0|319,963
1,8|963|sample|6|319,0,1.60997e-05,-6.48878,0,0,True,55.0|319,963
1,8|963|sample|7|319,0,-3.27906e-06,8.06011,0,0,True,32.0|319,963
1,8|963|sample|8|319,0,-1.24833e-05,1.96163,0,0,True,32.0|319,963
1,8|963|sample|9|319,0,5.97047e-06,1.50498,0,0,True,32.0|319,963
1,8|963|vc|1|2|319,0,3.5488e-06,5.13546,0,0,False,69.0|319,963
1,8|963|vc|2|2|319,0,-5.59221e-06,7.15208,0,0,False,69.0|319,963
1,8|963|vc|3|2|319,0,1.55437e-06,0.807215,0,0,False,69.0|319,963
1,8|963|vc|4|2|319,0,-1.37382e-06,-5.51187,0,0,False,69.0|319,963
1,8|963|vc|5|2|319,0,-7.73116e-06,1.53535,0,0,False,69.0|319,963
1,8|963|vc|6|2|319,0,-4.98277e-06,5.06887,0,0,False,69.0|319,963
1,8|963|vc|7|2|319,0,8.57486e-06,-3.74188,0,0,False,69.0|319,963
1,8|963|vc|8|2|319,0,6.07504e-07,-2.32007,0,0,False,69.0|319,963
1,8|1241|cc|1|1|69,0,-1.20907e-05,2.34494,0,0,False,69.0|69,1241
1,8|1241|cc|2|1|69,0,-2.3169e-06,6.48843,0,0,False,69.0|69,1241
1,8|1241|cc|3|1|69,0,2.0607e-05,12.6162,0,0,False,69.0|69,1241
1,8|1241|cc|4|1|69,0,1.88972e-05,2.49456,0,0,False,69.0|69,1241
1,8|1241|cc|5|1|69,0,-2.69648e-06,1.85688,0,0,False,69.0|69,1241
1,8|1241|cc|6|1|69,0,-4.60045e-06,-5.44666,0,0,False,69.0|69,1241
1,8|1241|cc|7|1|69,0,2.57848e-06,6.2907,0,0,False,69.0|69,1241
1,8|1241|cc|8|1|69,0,1.48218e-05,0.723231,0,0,False,69.0|69,1241
1,8|1241|sample|3|69,0,6.09604e-06,-0.991953,0,0,True,22.0|69,1241
1,8|1241|sample|4|69,0,-2.52217e-05,1.92008,0,0,True,22.0|69,1241
1,8|1241|sample|8|69,0,9.55768e-06,1.52847,0,0,True,22.0|69,1241
1,8|1241|vc|1|2|69,0,1.69058e-06,4.12119,0,0,False,69.0|69,1241
1,8|1241|vc|2|2|69,0,-6.29565e-06,-5.99371,0,0,False,69.0|69,1241
1,8|1241|vc|3|2|69,0,-1.1268e-05,-3.3342,0,0,False,69.0|69,1241
1,8|1241|vc|4|2|69,0,-1.8139e-05,3.16919,0,0,False,69.0|69,1241
1,8|1241|vc|5|2|69,0,7.85568e-06,-3.89782,0,0,False,69.0|69,1241
1,8|1241|vc|6|2|69,0,-2.34753e-06,7.34228,0,0,False,69.0|69,1241
1,8|1241|vc|7|2|69,0,7.59469e-07,1.3218,0,0,False,69.0|69,1241
1,8|1241|vc|8|2|69,0,1.00403e-05,-0.330186,0,0,False,69.0|69,1241
1,8|1056|cc|1|1|276,0,1.27565e-05,-4.15278,0,0,False,69.0|276,1056
1,8|1056|cc|2|1|276,0,2.56191e-07,4.65476,0,0,False,69.0|276,1056
1,8|1056|cc|3|1|276,0,1.68374e-05,5.58458,0,0,False,69.0|276,1056
1,8|1056|cc|4|1|276,0,1.23946e-05,3.37742,0,0,False,69.0|276,1056
1,8|1056|cc|5|1|276,0,-5.41201e-06,-0.96852,0,0,False,69.0|276,1056
1,8|1056|cc|6|1|276,0,5.82852e-07,-2.37048,0,0,False,69.0|276,1056
1,8|1056|cc|7|1|276,0,1.9616e-05,6.39572,0,0,False,69.0|276,1056
