id,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|77|cc|1|1|218,0,0,0.0213928,0,0,0,0,-2.80577e-07,0,0,False,69.0|218,77
8|77|cc|2|1|218,0,0,-0.0660921,0,0,0,0,1.70861e-07,0,0,False,69.0|218,77
8|77|cc|3|1|218,0,0,-0.0758958,0,0,0,0,-1.22894e-07,0,0,False,69.0|218,77
8|77|cc|4|1|218,0,0,-0.0610362,0,0,0,0,6.62877e-08,0,0,False,69.0|218,77
8|77|cc|5|1|218,0,0,-0.270755,0,0,0,0,-3.14385e-07,0,0,False,69.0|218,77
8|77|cc|6|1|218,0,0,0.0800744,0,0,0,0,2.66178e-07,0,0,False,69.0|218,77
8|77|cc|7|1|218,0,0,-0.0937892,0,0,0,0,1.99083e-07,0,0,False,69.0|218,77
8|77|cc|8|1|218,0,0,0.0385371,0,0,0,0,-3.3173e-07,0,0,False,69.0|218,77
8|77|sample|10|218,0,0,0.89526,0,0,0,0,0.925258,0,0,True,32.0|218,77
8|77|sample|11|218,0,0,1.23089,0,0,0,0,1.30434,0,0,True,22.0|218,77
8|77|sample|12|218,0,0,1.2173,0,0,0,0,1.25225,0,0,True,22.0|218,77
8|77|sample|3|218,0,0,3.55622,0,0,0,0,3.59111,0,0,True,55.0|218,77
8|77|sample|4|218,0,0,3.43427,0,0,0,0,3.50869,0,0,True,55.0|218,77
8|77|sample|5|218,0,0,3.85381,0,0,0,0,3.75719,0,0,True,55.0|218,77
8|77|sample|6|218,0,0,3.87286,0,0,0,0,3.83671,0,0,True,55.0|218,77
8|77|sample|7|218,0,0,0.574264,0,0,0,0,0.58752,0,0,True,32.0|218,77
8|77|sample|8|218,0,0,0.666904,0,0,0,0,0.720554,0,0,True,32.0|218,77
8|77|sample|9|218,0,0,0.842635,0,0,0,0,0.884942,0,0,True,32.0|218,77
8|77|vc|1|2|218,0,0,-0.302131,0,0,0,0,-1.50012e-07,0,0,False,69.0|218,77
8|77|vc|2|2|218,0,0,0.0758542,0,0,0,0,3.27686e-07,0,0,False,69.0|218,77
8|77|vc|3|2|218,0,0,-0.199951,0,0,0,0,-3.35426e-07,0,0,False,69.0|218,77
8|77|vc|4|2|218,0,0,0.164823,0,0,0,0,1.64656e-07,0,0,False,69.0|218,77
8|77|vc|5|2|218,0,0,0.255312,0,0,0,0,-1.47348e-07,0,0,False,69.0|218,77
8|77|vc|6|2|218,0,0,-0.172518,0,0,0,0,2.9109e-07,0,0,False,69.0|218,77
8|77|vc|7|2|218,0,0,0.145537,0,0,0,0,-2.41959e-07,0,0,False,69.0|218,77
8|77|vc|8|2|218,0,0,-0.0699675,0,0,0,0,-9.86526e-08,0,0,False,69.0|218,77
8|322|cc|1|1|174,0,0,-0.277144,0,0,0,0,-3.28859e-07,0,0,False,69.0|174,322
8|322|cc|2|1|174,0,0,-0.159682,0,0,0,0,1.25788e-07,0,0,False,69.0|174,322
8|322|cc|3|1|174,0,0,-0.100093,0,0,0,0,1.95114e-07,0,0,False,69.0|174,322
8|322|cc|4|1|174,0,0,0.0531285,0,0,0,0,4.2616e-07,0,0,False,69.0|174,322
8|322|cc|5|1|174,0,0,0.0972599,0,0,0,0,5.09186e-08,0,0,False,69.0|174,322
8|322|cc|6|1|174,0,0,-0.0686577,0,0,0,0,-1.14966e-07,0,0,False,69.0|174,322
8|322|cc|7|1|174,0,0,0.0166488,0,0,0,0,-3.99203e-07,0,0,False,69.0|174,322
8|322|cc|8|1|174,0,0,0.186365,0,0,0,0,-2.91715e-07,0,0,False,69.0|174,322
8|322|sample|10|174,0,0,2.46774,0,0,0,0,2.5162,0,0,True,32.0|174,322
8|322|sample|11|174,0,0,1.83905,0,0,0,0,1.90045,0,0,True,22.0|174,322
8|322|sample|12|174,0,0,2.0674,0,0,0,0,2.14206,0,0,True,22.0|174,322
8|322|sample|3|174,0,0,2.68043,0,0,0,0,2.7443,0,0,True,55.0|174,322
8|322|sample|4|174,0,0,2.49732,0,0,0,0,2.48911,0,0,True,55.0|174,322
8|322|sample|5|174,0,0,2.73092,0,0,0,0,2.73743,0,0,True,55.0|174,322
8|322|sample|6|174,0,0,2.63605,0,0,0,0,2.64975,0,0,True,55.0|174,322
