id,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_s_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_mode,eta_m_mode,eta_e_mode,eta_s_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|75|sample|10|65,-0.0152406,0.0144143,-3.02256,0,0,0,0.0932306,-0.0170612,-3.09206,0,0,0,True,32.0|65,75
8|75|sample|11|65,-2.59583,0.0875396,0.761565,0,0,0,-0.043034,0.0783852,0.85285,0,0,0,True,22.0|65,75
8|75|sample|12|65,0.365113,-0.0154512,1.13437,0,0,0,-0.0493623,-0.000323306,1.27233,0,0,0,True,22.0|65,75
8|75|sample|3|65,-1.65529,0.084889,1.23449,0,0,0,0.0690413,0.126118,1.45741,0,0,0,True,55.0|65,75
8|75|sample|4|65,0.680822,0.0816138,1.22188,0,0,0,0.0564288,0.0773904,1.20808,0,0,0,True,55.0|65,75
8|75|sample|5|65,0.903663,-0.039568,0.973735,0,0,0,0.166261,-0.0980801,0.824827,0,0,0,True,55.0|65,75
8|75|sample|6|65,0.0293279,-0.00407721,1.09365,0,0,0,0.223944,-0.0425002,1.07659,0,0,0,True,55.0|65,75
8|75|sample|7|65,0.844627,0.126673,-2.1738,0,0,0,0.0173603,0.0998571,-2.26469,0,0,0,True,32.0|65,75
8|75|sample|8|65,-0.778853,0.0690561,-2.36907,0,0,0,0.00432969,0.115867,-2.17447,0,0,0,True,32.0|65,75
8|75|sample|9|65,-0.942014,0.0480532,-2.93928,0,0,0,0.132604,0.0115591,-2.97401,0,0,0,True,32.0|65,75
8|75|vc|1|2|65,-0.267794,0.011185,-0.000310208,0,0,0,-1.14408e-07,4.86461e-09,-1.65634e-07,0,0,0,False,69.0|65,75
8|75|vc|2|2|65,-0.13348,0.0156357,0.0931066,0,0,0,2.18826e-07,1.45357e-08,-3.00925e-08,0,0,0,False,69.0|65,75
8|75|vc|3|2|65,0.286332,-0.0143305,0.0568184,0,0,0,-3.56602e-07,-1.54164e-08,1.4443e-07,0,0,0,False,69.0|65,75
8|75|vc|4|2|65,-0.78702,-0.00979198,0.131924,0,0,0,-8.08292e-08,3.89255e-08,9.3535e-08,0,0,0,False,69.0|65,75
8|75|vc|5|2|65,-0.394236,0.0174774,-0.165062,0,0,0,5.06785e-08,-9.12884e-09,3.20038e-07,0,0,0,False,69.0|65,75
