rep,id,f,h,L_gap,mab_virus,run_id
2,9|411|9|411|vc|3|2|274|2|274|69.0,0.242238,0.78112,10.0375,69.0|274,411
3,9|411|9|411|vc|3|2|274|2|274|69.0,0.0171397,0.78112,10.0375,69.0|274,411
4,9|411|9|411|vc|3|2|274|2|274|69.0,0.185952,0.78112,10.0375,69.0|274,411
5,9|411|9|411|vc|3|2|274|2|274|69.0,0.0763047,0.78112,10.0375,69.0|274,411
6,9|411|9|411|vc|3|2|274|2|274|69.0,0.653486,0.78112,10.0375,69.0|274,411
7,9|411|9|411|vc|3|2|274|2|274|69.0,9.11931,0.78112,10.0375,69.0|274,411
8,9|411|9|411|vc|3|2|274|2|274|69.0,0.361016,0.78112,10.0375,69.0|274,411
9,9|411|9|411|vc|3|2|274|2|274|69.0,2.98812,0.78112,10.0375,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,0.452243,0.78112,10.0375,69.0|274,411
2,9|411|9|411|vc|4|2|274|2|274|69.0,9.86403,0.78112,10.0375,69.0|274,411
3,9|411|9|411|vc|4|2|274|2|274|69.0,46.5287,0.78112,10.0375,69.0|274,411
4,9|411|9|411|vc|4|2|274|2|274|69.0,0.850598,0.78112,10.0375,69.0|274,411
5,9|411|9|411|vc|4|2|274|2|274|69.0,0.105047,0.78112,10.0375,69.0|274,411
6,9|411|9|411|vc|4|2|274|2|274|69.0,0.122019,0.78112,10.0375,69.0|274,411
7,9|411|9|411|vc|4|2|274|2|274|69.0,11.9927,0.78112,10.0375,69.0|274,411
8,9|411|9|411|vc|4|2|274|2|274|69.0,40.2084,0.78112,10.0375,69.0|274,411
9,9|411|9|411|vc|4|2|274|2|274|69.0,0.50652,0.78112,10.0375,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,0.55716,0.78112,10.0375,69.0|274,411
2,9|411|9|411|vc|5|2|274|2|274|69.0,0.6702,0.78112,10.0375,69.0|274,411
3,9|411|9|411|vc|5|2|274|2|274|69.0,0.113305,0.78112,10.0375,69.0|274,411
4,9|411|9|411|vc|5|2|274|2|274|69.0,0.0231741,0.78112,10.0375,69.0|274,411
5,9|411|9|411|vc|5|2|274|2|274|69.0,4.64175,0.78112,10.0375,69.0|274,411
6,9|411|9|411|vc|5|2|274|2|274|69.0,14.2939,0.78112,10.0375,69.0|274,411
7,9|411|9|411|vc|5|2|274|2|274|69.0,17.5689,0.78112,10.0375,69.0|274,411
8,9|411|9|411|vc|5|2|274|2|274|69.0,2.44448,0.78112,10.0375,69.0|274,411
9,9|411|9|411|vc|5|2|274|2|274|69.0,0.943096,0.78112,10.0375,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,0.192832,0.78112,10.0375,69.0|274,411
2,9|411|9|411|vc|6|2|274|2|274|69.0,0.745755,0.78112,10.0375,69.0|274,411
3,9|411|9|411|vc|6|2|274|2|274|69.0,0.0658973,0.78112,10.0375,69.0|274,411
4,9|411|9|411|vc|6|2|274|2|274|69.0,0.151328,0.78112,10.0375,69.0|274,411
5,9|411|9|411|vc|6|2|274|2|274|69.0,0.262264,0.78112,10.0375,69.0|274,411
6,9|411|9|411|vc|6|2|274|2|274|69.0,4.57655,0.78112,10.0375,69.0|274,411
