id,L_gap_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,L_gap_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
14|183|14|183|vc|2|2|233|2|233|69.0,3.57637,1.65471,14.3612,-0.00856746,0.273699,3.43163,1.65435,9.68485,-0.00833068,0.276156,False,69.0|233,183
14|183|14|183|vc|3|2|233|2|233|69.0,3.50151,1.65471,14.8188,-0.00856746,0.273699,3.43163,1.65435,9.68485,-0.00833068,0.276156,False,69.0|233,183
14|183|14|183|vc|4|2|233|2|233|69.0,3.01262,1.65471,15.2126,-0.00856746,0.273699,3.43163,1.65435,9.68485,-0.00833068,0.276156,False,69.0|233,183
14|183|14|183|vc|5|2|233|2|233|69.0,3.4165,1.65471,13.926,-0.00856746,0.273699,3.43163,1.65435,9.68485,-0.00833068,0.276156,False,69.0|233,183
14|183|14|183|vc|6|2|233|2|233|69.0,3.38779,1.65471,13.9685,-0.00856746,0.273699,3.43163,1.65435,9.68485,-0.00833068,0.276156,False,69.0|233,183
14|183|14|183|vc|7|2|233|2|233|69.0,3.44364,1.65471,12.5239,-0.00856746,0.273699,3.43163,1.65435,9.68485,-0.00833068,0.276156,False,69.0|233,183
14|183|14|183|vc|8|2|233|2|233|69.0,3.19552,1.65471,13.6517,-0.00856746,0.273699,3.43163,1.65435,9.68485,-0.00833068,0.276156,False,69.0|233,183
14|705|14|705|sample|3|233|3|233|6.0,9.34502,1.65471,0.75125,0.12538,0.273633,9.33644,1.65435,0.421152,0.126372,0.276091,False,6.0|233,705
14|705|14|705|sample|4|233|4|233|6.0,9.39337,1.65471,0.539663,0.12538,0.273633,9.3855,1.65435,0.361522,0.126372,0.276091,False,6.0|233,705
14|705|14|705|sample|5|233|5|233|6.0,9.45287,1.65471,0.511472,0.12538,0.273633,9.4162,1.65435,0.306922,0.126372,0.276091,False,6.0|233,705
