rep,id,eta_L,eta_m,eta_e,eta_s,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,8|847|cc|6|1|69,0,6.15556e-07,0,0.1382,0,0,False,69.0|69,847
1,8|847|cc|7|1|69,0,-6.23182e-06,0,-0.152734,0,0,False,69.0|69,847
1,8|847|cc|8|1|69,0,-1.52459e-06,0,-0.0780959,0,0,False,69.0|69,847
1,8|847|sample|10|69,0,1.60096e-05,0,0.203055,0,0,True,32.0|69,847
1,8|847|sample|11|69,0,-1.39222e-05,0,0.191219,0,0,True,22.0|69,847
1,8|847|sample|12|69,0,-6.86784e-06,0,0.0457412,0,0,True,22.0|69,847
1,8|847|sample|3|69,0,-4.21921e-06,0,-0.337717,0,0,True,55.0|69,847
1,8|847|sample|4|69,0,-4.9132e-06,0,-0.264895,0,0,True,55.0|69,847
1,8|847|sample|5|69,0,-1.53996e-05,0,-0.199965,0,0,True,55.0|69,847
1,8|847|sample|6|69,0,-3.14113e-06,0,-0.173201,0,0,True,55.0|69,847
1,8|847|sample|7|69,0,3.83248e-06,0,-0.31618,0,0,True,32.0|69,847
1,8|847|sample|8|69,0,4.61422e-06,0,0.0217786,0,0,True,32.0|69,847
1,8|847|sample|9|69,0,7.23742e-06,0,-0.108204,0,0,True,32.0|69,847
1,8|847|vc|1|2|69,0,6.65319e-06,0,0.259314,0,0,False,69.0|69,847
1,8|847|vc|2|2|69,0,6.72361e-06,0,0.0932574,0,0,False,69.0|69,847
1,8|847|vc|3|2|69,0,1.29581e-06,0,-0.103672,0,0,False,69.0|69,847
1,8|847|vc|4|2|69,0,-1.06672e-05,0,0.416006,0,0,False,69.0|69,847
1,8|847|vc|5|2|69,0,8.3947e-06,0,-0.0449034,0,0,False,69.0|69,847
1,8|847|vc|6|2|69,0,2.07255e-05,0,0.258223,0,0,False,69.0|69,847
1,8|847|vc|7|2|69,0,-6.01108e-06,0,-0.362602,0,0,False,69.0|69,847
1,8|847|vc|8|2|69,0,2.72297e-06,0,-0.191622,0,0,False,69.0|69,847
1,8|474|cc|1|1|276,0,-1.5264e-05,0,0.0755782,0,0,False,69.0|276,474
1,8|474|cc|2|1|276,0,-1.92642e-06,0,0.167857,0,0,False,69.0|276,474
1,8|474|cc|3|1|276,0,-1.51857e-05,0,0.254438,0,0,False,69.0|276,474
1,8|474|cc|4|1|276,0,8.66275e-06,0,-0.0461384,0,0,False,69.0|276,474
1,8|474|cc|5|1|276,0,-8.95676e-06,0,0.0514684,0,0,False,69.0|276,474
1,8|474|cc|6|1|276,0,-1.20555e-05,0,0.0381996,0,0,False,69.0|276,474
1,8|474|cc|7|1|276,0,9.85816e-06,0,0.0627523,0,0,False,69.0|276,474
1,8|474|cc|8|1|276,0,8.75803e-07,0,-0.198617,0,0,False,69.0|276,474
1,8|474|sample|10|276,0,-1.56087e-05,0,0.0359001,0,0,True,32.0|276,474
1,8|474|sample|11|276,0,1.28339e-06,0,-0.232988,0,0,True,22.0|276,474
1,8|474|sample|12|276,0,-1.90278e-05,0,0.167471,0,0,True,22.0|276,474
1,8|474|sample|3|276,0,-3.62292e-06,0,-0.0796478,0,0,True,55.0|276,474
1,8|474|sample|4|276,0,5.8348e-06,0,0.276707,0,0,True,55.0|276,474
1,8|474|sample|5|276,0,6.77207e-06,0,-0.121644,0,0,True,55.0|276,474
1,8|474|sample|6|276,0,9.90967e-06,0,-0.15164,0,0,True,55.0|276,474
1,8|474|sample|7|276,0,-9.88881e-06,0,0.125496,0,0,True,32.0|276,474
1,8|474|sample|8|276,0,-4.55218e-07,0,-0.0780142,0,0,True,32.0|276,474
1,8|474|sample|9|276,0,1.63152e-05,0,0.0163217,0,0,True,32.0|276,474
1,8|474|vc|1|2|276,0,-5.7499e-06,0,-0.299051,0,0,False,69.0|276,474
1,8|474|vc|2|2|276,0,-1.5873e-05,0,-0.00405813,0,0,False,69.0|276,474
1,8|474|vc|3|2|276,0,-1.99783e-06,0,-0.0943288,0,0,False,69.0|276,474
1,8|474|vc|4|2|276,0,-1.0601e-06,0,0.229408,0,0,False,69.0|276,474
1,8|474|vc|5|2|276,0,7.45644e-06,0,0.0442631,0,0,False,69.0|276,474
1,8|474|vc|6|2|276,0,1.82435e-06,0,-0.119241,0,0,False,69.0|276,474
1,8|474|vc|7|2|276,0,-4.27348e-06,0,-0.0589724,0,0,False,69.0|276,474
1,8|474|vc|8|2|276,0,1.0854e-05,0,-0.0370321,0,0,False,69.0|276,474
1,8|462|cc|1|1|292,0,7.9396e-06,0,0.12763,0,0,False,69.0|292,462
1,8|462|cc|2|1|292,0,8.46758e-06,0,0.0535008,0,0,False,69.0|292,462
1,8|462|cc|3|1|292,0,2.2382e-07,0,0.0215897,0,0,False,69.0|292,462
1,8|462|cc|4|1|292,0,-1.79004e-06,0,0.0719911,0,0,False,69.0|292,462
1,8|462|cc|5|1|292,0,-8.68704e-07,0,0.0972897,0,0,False,69.0|292,462
1,8|462|cc|6|1|292,0,-6.67621e-06,0,-0.0858947,0,0,False,69.0|292,462
1,8|462|cc|7|1|292,0,-9.97703e-07,0,0.229286,0,0,False,69.0|292,462
1,8|462|cc|8|1|292,0,6.28893e-06,0,0.314541,0,0,False,69.0|292,462
1,8|462|sample|10|292,0,-9.67682e-07,0,0.23734,0,0,True,32.0|292,462
1,8|462|sample|11|292,0,-9.34466e-07,0,0.0100353,0,0,True,22.0|292,462
1,8|462|sample|12|292,0,-9.56703e-06,0,0.249648,0,0,True,22.0|292,462
1,8|462|sample|3|292,0,5.76971e-06,0,-0.114695,0,0,True,55.0|292,462
1,8|462|sample|4|292,0,1.123e-06,0,-0.273662,0,0,True,55.0|292,462
1,8|462|sample|5|292,0,-6.79621e-06,0,0.0822204,0,0,True,55.0|292,462
1,8|462|sample|6|292,0,3.47707e-06,0,0.0658968,0,0,True,55.0|292,462
1,8|462|sample|7|292,0,-1.23297e-05,0,0.181271,0,0,True,32.0|292,462
1,8|462|sample|8|292,0,8.95116e-07,0,0.191913,0,0,True,32.0|292,462
1,8|462|sample|9|292,0,-3.0587e-07,0,0.156931,0,0,True,32.0|292,462
1,8|462|vc|1|2|292,0,-2.14757e-06,0,-0.0642943,0,0,False,69.0|292,462
1,8|462|vc|2|2|292,0,6.90881e-06,0,-0.0195996,0,0,False,69.0|292,462
1,8|462|vc|3|2|292,0,5.25733e-06,0,0.241634,0,0,False,69.0|292,462
1,8|462|vc|4|2|292,0,-5.03163e-06,0,-0.250199,0,0,False,69.0|292,462
1,8|462|vc|5|2|292,0,-6.78011e-06,0,0.019823,0,0,False,69.0|292,462
1,8|462|vc|6|2|292,0,3.99789e-06,0,0.251146,0,0,False,69.0|292,462
1,8|462|vc|7|2|292,0,1.22677e-05,0,-0.00558843,0,0,False,69.0|292,462
1,8|462|vc|8|2|292,0,-8.97275e-06,0,-0.229237,0,0,False,69.0|292,462
1,8|75|cc|1|1|65,0,-3.05861e-06,0,-0.22023,0,0,False,69.0|65,75
1,8|75|cc|2|1|65,0,-1.3069e-06,0,0.00749884,0,0,False,69.0|65,75
1,8|75|cc|3|1|65,0,1.21714e-05,0,-0.0461274,0,0,False,69.0|65,75
1,8|75|cc|4|1|65,0,-7.15336e-07,0,-0.0535441,0,0,False,69.0|65,75
1,8|75|cc|5|1|65,0,-1.08095e-06,0,0.115819,0,0,False,69.0|65,75
1,8|75|cc|6|1|65,0,9.17348e-06,0,0.127361,0,0,False,69.0|65,75
