id,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
14|297|vc|6|2|71,2.81771e-07,0.0592044,-0.0663332,0,0,2.27374e-13,6.13132e-08,5.52531e-07,0,0,False,69.0|71,297
14|297|vc|7|2|71,-8.47701e-08,0.0388498,-0.05173,0,0,1.13687e-13,1.98489e-08,-3.786e-07,0,0,False,69.0|71,297
14|297|vc|8|2|71,4.38997e-09,0.00880551,-0.0653145,0,0,-6.82121e-13,-1.64802e-08,8.7036e-08,0,0,False,69.0|71,297
14|183|sample|4|233,2.84307e-07,0.40518,-0.906895,0,0,-1.81899e-12,0.383414,-0.884574,0,0,True,6.0|233,183
14|183|sample|3|233,5.2333e-08,0.360171,-0.888716,0,0,-3.41061e-12,0.308982,-0.80976,0,0,True,6.0|233,183
14|183|sample|6|233,4.5877e-07,0.425255,-0.144894,0,0,6.82121e-13,0.341017,-0.147192,0,0,True,6.0|233,183
14|183|sample|5|233,4.43351e-07,0.366154,-0.196145,0,0,4.54747e-13,0.302674,-0.151281,0,0,True,6.0|233,183
14|183|sample|7|233,-2.84563e-07,0.554891,-1.2136,0,0,3.41061e-12,0.500234,-1.19922,0,0,True,6.0|233,183
14|183|sample|8|233,-4.98931e-07,0.470426,-1.24967,0,0,1.59162e-12,0.438045,-1.20452,0,0,True,6.0|233,183
14|183|sample|10|233,-2.2239e-07,0.176374,0.28198,0,0,-1.81899e-12,0.101776,0.334486,0,0,True,6.0|233,183
14|183|sample|9|233,1.56522e-08,0.287034,-0.11141,0,0,1.36424e-12,0.259145,-0.0401769,0,0,True,6.0|233,183
14|183|sample|12|233,2.06371e-07,-0.219253,-1.34861,0,0,1.36424e-12,-0.267419,-1.33135,0,0,True,6.0|233,183
14|183|sample|11|233,-1.79718e-09,0.177512,-2.16955,0,0,1.25056e-12,0.112395,-2.04954,0,0,True,6.0|233,183
14|183|cc|1|1|233,-1.14838e-08,-0.00330877,-0.0729394,0,0,0.0,2.95786e-08,-1.97881e-07,0,0,False,69.0|233,183
14|183|cc|2|1|233,-1.53218e-07,-0.0676008,0.153971,0,0,4.54747e-13,2.21868e-07,4.15221e-07,0,0,False,69.0|233,183
14|183|cc|3|1|233,1.22765e-07,-0.0238216,-0.0072744,0,0,-4.54747e-13,1.48226e-07,1.13692e-07,0,0,False,69.0|233,183
