id,U_SAEM,L_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
8|474|vc|8|2|276,1,1.2777e-06,0.481508,985.293,0.133481,4.59531e-16,1,7.95394e-09,0.450058,108.894,0.134429,4.62203e-16,False,69.0|276,474
8|462|cc|1|1|292,1,7.33735e-07,0.473913,641.868,0.203667,4.59531e-16,1,7.95395e-09,0.450058,108.894,0.203179,4.62203e-16,False,69.0|292,462
8|462|cc|2|1|292,1,5.30069e-06,0.515648,330.839,0.203667,4.59531e-16,1,7.95395e-09,0.450058,108.894,0.203179,4.62203e-16,False,69.0|292,462
8|462|cc|3|1|292,1,9.71378e-07,0.47634,621.109,0.203667,4.59531e-16,1,7.95394e-09,0.450058,108.894,0.203179,4.62203e-16,False,69.0|292,462
8|462|cc|4|1|292,1,9.5334e-07,0.495891,944.87,0.203667,4.59531e-16,1,7.95394e-09,0.450058,108.894,0.203179,4.62203e-16,False,69.0|292,462
8|462|cc|5|1|292,1,2.98552e-06,0.477098,528.224,0.203667,4.59531e-16,1,7.95395e-09,0.450058,108.894,0.203179,4.62203e-16,False,69.0|292,462
8|462|cc|6|1|292,1,9.01478e-07,0.466412,611.846,0.203667,4.59531e-16,1,7.95395e-09,0.450058,108.894,0.203179,4.62203e-16,False,69.0|292,462
8|462|cc|7|1|292,1,4.47217e-07,0.46649,681.134,0.203667,4.59531e-16,1,7.95395e-09,0.450058,108.894,0.203179,4.62203e-16,False,69.0|292,462
8|462|cc|8|1|292,1,1.28124e-06,0.470596,612.715,0.203667,4.59531e-16,1,7.95395e-09,0.450058,108.894,0.203179,4.62203e-16,False,69.0|292,462
8|462|sample|10|292,1,2.60588e-05,1.98391,38.2111,0.203667,4.59531e-16,1,1.59361e-06,1.86709,41.0211,0.203179,4.62203e-16,True,32.0|292,462
