id,U_SAEM,L_SAEM,m_SAEM,e_SAEM,s_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,m_mode,e_mode,s_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
8|488|sample|4|322,1,0.00396039,0.648988,0.000576174,36.1425,0.283341,0.419458,1,0.00396039,0.648988,0.000576174,36.1425,0.283341,0.419458,True,55.0|322,488
8|488|sample|5|322,1,0.00396039,0.648988,0.000576174,36.1425,0.283341,0.419458,1,0.00396039,0.648988,0.000576174,36.1425,0.283341,0.419458,True,55.0|322,488
8|488|sample|6|322,1,0.00396039,0.648988,0.000576174,36.1425,0.283341,0.419458,1,0.00396039,0.648988,0.000576174,36.1425,0.283341,0.419458,True,55.0|322,488
8|488|sample|7|322,1,0.00396039,0.648988,0.00107559,36.1425,0.283341,0.419458,1,0.00396039,0.648988,0.00107559,36.1425,0.283341,0.419458,True,32.0|322,488
8|488|sample|8|322,1,0.00396039,0.648988,0.00107559,36.1425,0.283341,0.419458,1,0.00396039,0.648988,0.00107559,36.1425,0.283341,0.419458,True,32.0|322,488
8|488|sample|9|322,1,0.00396039,0.648988,0.00107559,36.1425,0.283341,0.419458,1,0.00396039,0.648988,0.00107559,36.1425,0.283341,0.419458,True,32.0|322,488
8|488|vc|1|2|322,1,0.00396039,0.648988,0.0253438,36.1497,0.283341,0.419458,1,0.00396039,0.648988,0.0253438,36.1497,0.283341,0.419458,False,69.0|322,488
8|488|vc|2|2|322,1,0.00396039,0.648988,0.0253438,36.1497,0.283341,0.419458,1,0.00396039,0.648988,0.0253438,36.1497,0.283341,0.419458,False,69.0|322,488
8|488|vc|3|2|322,1,0.00396039,0.648988,0.0253438,36.1497,0.283341,0.419458,1,0.00396039,0.648988,0.0253438,36.1497,0.283341,0.419458,False,69.0|322,488
8|488|vc|4|2|322,1,0.00396039,0.648988,0.0253438,36.1497,0.283341,0.419458,1,0.00396039,0.648988,0.0253438,36.1497,0.283341,0.419458,False,69.0|322,488
8|488|vc|5|2|322,1,0.00396039,0.648988,0.0253438,36.1497,0.283341,0.419458,1,0.00396039,0.648988,0.0253438,36.1497,0.283341,0.419458,False,69.0|322,488
8|488|vc|6|2|322,1,0.00396039,0.648988,0.0253438,36.1497,0.283341,0.419458,1,0.00396039,0.648988,0.0253438,36.1497,0.283341,0.419458,False,69.0|322,488
8|488|vc|7|2|322,1,0.00396039,0.648988,0.0253438,36.1497,0.283341,0.419458,1,0.00396039,0.648988,0.0253438,36.1497,0.283341,0.419458,False,69.0|322,488
8|488|vc|8|2|322,1,0.00396039,0.648988,0.0253438,36.1497,0.283341,0.419458,1,0.00396039,0.648988,0.0253438,36.1497,0.283341,0.419458,False,69.0|322,488
8|847|cc|1|1|69,1,0.00396039,0.648988,0.0104871,36.1497,0.242698,0.0760802,1,0.00396039,0.648988,0.0104871,36.1497,0.242698,0.0760802,False,69.0|69,847
8|847|cc|2|1|69,1,0.00396039,0.648988,0.0104871,36.1497,0.242698,0.0760802,1,0.00396039,0.648988,0.0104871,36.1497,0.242698,0.0760802,False,69.0|69,847
8|847|cc|3|1|69,1,0.00396039,0.648988,0.0104871,36.1497,0.242698,0.0760802,1,0.00396039,0.648988,0.0104871,36.1497,0.242698,0.0760802,False,69.0|69,847
8|847|cc|4|1|69,1,0.00396039,0.648988,0.0104871,36.1497,0.242698,0.0760802,1,0.00396039,0.648988,0.0104871,36.1497,0.242698,0.0760802,False,69.0|69,847
8|847|cc|5|1|69,1,0.00396039,0.648988,0.0104871,36.1497,0.242698,0.0760802,1,0.00396039,0.648988,0.0104871,36.1497,0.242698,0.0760802,False,69.0|69,847
8|847|cc|6|1|69,1,0.00396039,0.648988,0.0104871,36.1497,0.242698,0.0760802,1,0.00396039,0.648988,0.0104871,36.1497,0.242698,0.0760802,False,69.0|69,847
8|847|cc|7|1|69,1,0.00396039,0.648988,0.0104871,36.1497,0.242698,0.0760802,1,0.00396039,0.648988,0.0104871,36.1497,0.242698,0.0760802,False,69.0|69,847
8|847|cc|8|1|69,1,0.00396039,0.648988,0.0104871,36.1497,0.242698,0.0760802,1,0.00396039,0.648988,0.0104871,36.1497,0.242698,0.0760802,False,69.0|69,847
8|847|sample|10|69,1,0.00396039,0.648988,0.0543507,36.1425,0.242698,0.0760802,1,0.00396039,0.648988,0.0543507,36.1425,0.242698,0.0760802,True,32.0|69,847
8|847|sample|11|69,1,0.00396039,0.648988,0.00815183,36.1425,0.242698,0.0760802,1,0.00396039,0.648988,0.00815183,36.1425,0.242698,0.0760802,True,22.0|69,847
8|847|sample|12|69,1,0.00396039,0.648988,0.00815183,36.1425,0.242698,0.0760802,1,0.00396039,0.648988,0.00815183,36.1425,0.242698,0.0760802,True,22.0|69,847
8|847|sample|3|69,1,0.00396039,0.648988,0.00047303,36.1425,0.242698,0.0760802,1,0.00396039,0.648988,0.00047303,36.1425,0.242698,0.0760802,True,55.0|69,847
8|847|sample|4|69,1,0.00396039,0.648988,0.00047303,36.1425,0.242698,0.0760802,1,0.00396039,0.648988,0.00047303,36.1425,0.242698,0.0760802,True,55.0|69,847
8|847|sample|5|69,1,0.00396039,0.648988,0.00047303,36.1425,0.242698,0.0760802,1,0.00396039,0.648988,0.00047303,36.1425,0.242698,0.0760802,True,55.0|69,847
8|847|sample|6|69,1,0.00396039,0.648988,0.00047303,36.1425,0.242698,0.0760802,1,0.00396039,0.648988,0.00047303,36.1425,0.242698,0.0760802,True,55.0|69,847
8|847|sample|7|69,1,0.00396039,0.648988,0.0543507,36.1425,0.242698,0.0760802,1,0.00396039,0.648988,0.0543507,36.1425,0.242698,0.0760802,True,32.0|69,847
8|847|sample|8|69,1,0.00396039,0.648988,0.0543507,36.1425,0.242698,0.0760802,1,0.00396039,0.648988,0.0543507,36.1425,0.242698,0.0760802,True,32.0|69,847
8|847|sample|9|69,1,0.00396039,0.648988,0.0543507,36.1425,0.242698,0.0760802,1,0.00396039,0.648988,0.0543507,36.1425,0.242698,0.0760802,True,32.0|69,847
8|847|vc|1|2|69,1,0.00396039,0.648988,0.0104871,36.1497,0.242698,0.0760802,1,0.00396039,0.648988,0.0104871,36.1497,0.242698,0.0760802,False,69.0|69,847
8|847|vc|2|2|69,1,0.00396039,0.648988,0.0104871,36.1497,0.242698,0.0760802,1,0.00396039,0.648988,0.0104871,36.1497,0.242698,0.0760802,False,69.0|69,847
8|847|vc|3|2|69,1,0.00396039,0.648988,0.0104871,36.1497,0.242698,0.0760802,1,0.00396039,0.648988,0.0104871,36.1497,0.242698,0.0760802,False,69.0|69,847
8|847|vc|4|2|69,1,0.00396039,0.648988,0.0104871,36.1497,0.242698,0.0760802,1,0.00396039,0.648988,0.0104871,36.1497,0.242698,0.0760802,False,69.0|69,847
