id,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|75|vc|8|2|65,3.45125e-06,0,0,0,0,-5.92127e-09,0,0,0,0,False,69.0|65,75
8|291|cc|1|1|103,2.51991e-06,0,0,0,0,-1.93693e-08,0,0,0,0,False,69.0|103,291
8|291|cc|2|1|103,2.35771e-06,0,0,0,0,2.04766e-08,0,0,0,0,False,69.0|103,291
8|291|cc|3|1|103,-1.2309e-06,0,0,0,0,1.8192e-08,0,0,0,0,False,69.0|103,291
8|291|cc|4|1|103,-1.02643e-06,0,0,0,0,2.06175e-08,0,0,0,0,False,69.0|103,291
8|291|cc|5|1|103,2.54778e-07,0,0,0,0,-1.14795e-08,0,0,0,0,False,69.0|103,291
8|291|cc|6|1|103,1.39255e-06,0,0,0,0,1.50427e-08,0,0,0,0,False,69.0|103,291
8|291|cc|7|1|103,1.58586e-06,0,0,0,0,6.30143e-09,0,0,0,0,False,69.0|103,291
8|291|cc|8|1|103,1.30581e-06,0,0,0,0,-2.11887e-08,0,0,0,0,False,69.0|103,291
8|291|sample|10|103,9.37597e-07,0,0,0,0,4.53939e-08,0,0,0,0,True,32.0|103,291
8|291|sample|11|103,-3.04284e-07,0,0,0,0,-4.79857e-08,0,0,0,0,True,22.0|103,291
8|291|sample|12|103,4.82161e-07,0,0,0,0,-1.73568e-08,0,0,0,0,True,22.0|103,291
8|291|sample|3|103,-2.3751e-06,0,0,0,0,7.21911e-09,0,0,0,0,True,55.0|103,291
8|291|sample|4|103,-8.79647e-07,0,0,0,0,6.49004e-09,0,0,0,0,True,55.0|103,291
8|291|sample|5|103,4.63939e-06,0,0,0,0,5.1229e-09,0,0,0,0,True,55.0|103,291
8|291|sample|6|103,9.9238e-07,0,0,0,0,2.11861e-08,0,0,0,0,True,55.0|103,291
8|291|sample|7|103,2.76847e-06,0,0,0,0,4.83179e-08,0,0,0,0,True,32.0|103,291
8|291|sample|8|103,-1.1253e-06,0,0,0,0,-1.18455e-08,0,0,0,0,True,32.0|103,291
8|291|sample|9|103,1.17588e-06,0,0,0,0,-2.09759e-08,0,0,0,0,True,32.0|103,291
8|291|vc|1|2|103,2.68384e-06,0,0,0,0,-6.97673e-09,0,0,0,0,False,69.0|103,291
8|291|vc|2|2|103,-1.10913e-06,0,0,0,0,-1.15713e-08,0,0,0,0,False,69.0|103,291
8|291|vc|3|2|103,3.23338e-06,0,0,0,0,1.21996e-08,0,0,0,0,False,69.0|103,291
8|291|vc|4|2|103,2.22198e-06,0,0,0,0,1.10294e-08,0,0,0,0,False,69.0|103,291
8|291|vc|5|2|103,5.90814e-07,0,0,0,0,2.14871e-08,0,0,0,0,False,69.0|103,291
8|291|vc|6|2|103,-5.46995e-07,0,0,0,0,-5.06759e-09,0,0,0,0,False,69.0|103,291
8|291|vc|7|2|103,-6.28998e-07,0,0,0,0,-1.13038e-08,0,0,0,0,False,69.0|103,291
8|291|vc|8|2|103,1.05511e-06,0,0,0,0,-1.93335e-08,0,0,0,0,False,69.0|103,291
8|77|cc|1|1|218,1.93879e-06,0,0,0,0,-1.98362e-08,0,0,0,0,False,69.0|218,77
8|77|cc|2|1|218,-3.16205e-06,0,0,0,0,1.91825e-08,0,0,0,0,False,69.0|218,77
8|77|cc|3|1|218,-1.13573e-06,0,0,0,0,9.91076e-09,0,0,0,0,False,69.0|218,77
8|77|cc|4|1|218,2.10938e-06,0,0,0,0,9.98626e-08,0,0,0,0,False,69.0|218,77
8|77|cc|5|1|218,2.15646e-06,0,0,0,0,-5.72919e-09,0,0,0,0,False,69.0|218,77
8|77|cc|6|1|218,3.52241e-07,0,0,0,0,2.20818e-08,0,0,0,0,False,69.0|218,77
8|77|cc|7|1|218,-2.18038e-07,0,0,0,0,1.15899e-08,0,0,0,0,False,69.0|218,77
8|77|cc|8|1|218,2.39026e-07,0,0,0,0,1.06471e-08,0,0,0,0,False,69.0|218,77
8|77|sample|10|218,1.43488e-06,0,0,0,0,-2.49404e-08,0,0,0,0,True,32.0|218,77
8|77|sample|11|218,-2.11476e-06,0,0,0,0,-2.33083e-08,0,0,0,0,True,22.0|218,77
8|77|sample|12|218,-3.76005e-07,0,0,0,0,-1.105e-08,0,0,0,0,True,22.0|218,77
8|77|sample|3|218,2.38304e-06,0,0,0,0,1.54124e-08,0,0,0,0,True,55.0|218,77
8|77|sample|4|218,3.11933e-06,0,0,0,0,3.46517e-09,0,0,0,0,True,55.0|218,77
8|77|sample|5|218,1.41587e-07,0,0,0,0,1.8664e-08,0,0,0,0,True,55.0|218,77
8|77|sample|6|218,-2.92764e-07,0,0,0,0,-1.66281e-08,0,0,0,0,True,55.0|218,77
8|77|sample|7|218,-6.92042e-07,0,0,0,0,1.70426e-08,0,0,0,0,True,32.0|218,77
8|77|sample|8|218,-1.1119e-06,0,0,0,0,-4.97391e-08,0,0,0,0,True,32.0|218,77
8|77|sample|9|218,4.8945e-07,0,0,0,0,-1.20182e-08,0,0,0,0,True,32.0|218,77
