id,eta_U_SAEM,eta_L_SAEM,eta_h_SAEM,eta_f_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_mode,eta_L_mode,eta_h_mode,eta_f_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
14|183|14|183|sample|12|233|12|233|6.0,0,5.03031e-09,9.48915,-1.32364e-10,0,0,0,0,0.714444,-1.24345e-14,0,0,True,6.0|233,183
14|183|14|183|sample|11|233|11|233|6.0,0,2.0406e-09,8.38895,3.63688e-09,0,0,0,0,0.713909,-3.55271e-15,0,0,True,6.0|233,183
14|183|14|183|cc|1|1|233|1|233|69.0,0,8.77509e-09,-0.348654,4.01685e-10,0,0,0,0,2.84947e-06,2.88658e-15,0,0,False,69.0|233,183
14|183|14|183|cc|2|1|233|1|233|69.0,0,5.85565e-09,0.097056,-1.68965e-10,0,0,0,0,-3.72817e-06,-5.10703e-15,0,0,False,69.0|233,183
14|183|14|183|cc|3|1|233|1|233|69.0,0,3.93436e-09,0.620012,-7.89984e-10,0,0,0,0,1.47758e-05,3.77476e-14,0,0,False,69.0|233,183
14|183|14|183|cc|4|1|233|1|233|69.0,0,1.4752e-09,-0.150869,8.36302e-10,0,0,0,0,1.46235e-05,-1.33227e-14,0,0,False,69.0|233,183
14|183|14|183|cc|5|1|233|1|233|69.0,0,-2.45699e-09,-1.09181,-5.6547e-10,0,0,0,0,6.33316e-06,2.42029e-14,0,0,False,69.0|233,183
14|183|14|183|cc|6|1|233|1|233|69.0,0,1.50537e-09,-0.738963,-6.5446e-10,0,0,0,0,-2.11447e-06,2.93099e-14,0,0,False,69.0|233,183
14|183|14|183|cc|7|1|233|1|233|69.0,0,-4.22974e-09,-1.5751,-1.17519e-09,0,0,0,0,2.73795e-06,2.57572e-14,0,0,False,69.0|233,183
14|183|14|183|cc|8|1|233|1|233|69.0,0,-4.53668e-09,-0.588903,-1.80942e-09,0,0,0,0,-2.96003e-06,1.44329e-14,0,0,False,69.0|233,183
14|183|14|183|vc|1|2|233|2|233|69.0,0,-8.06377e-09,-0.248277,1.20417e-09,0,0,0,0,-5.37639e-07,-1.22125e-14,0,0,False,69.0|233,183
14|183|14|183|vc|2|2|233|2|233|69.0,0,2.8273e-09,-1.16321,2.01355e-09,0,0,0,2.27374e-13,-1.78108e-07,-8.88178e-16,0,0,False,69.0|233,183
14|183|14|183|vc|3|2|233|2|233|69.0,0,1.8309e-09,-0.494475,1.62186e-09,0,0,0,0,-5.19875e-06,7.43849e-15,0,0,False,69.0|233,183
14|183|14|183|vc|4|2|233|2|233|69.0,0,2.8571e-09,1.93136,8.65827e-10,0,0,0,0,3.42022e-06,2.22045e-15,0,0,False,69.0|233,183
14|183|14|183|vc|5|2|233|2|233|69.0,0,-1.52221e-08,2.46491,1.79713e-10,0,0,0,0,1.11664e-05,4.996e-15,0,0,False,69.0|233,183
