rep,id,U,L,h,f,alpha,k,goes_down,mab_virus,run_id
1,8|84|8|84|vc|4|2|162|2|162|69.0,75428.5,786.472,-0.342624,0.0899512,1.1866e-11,0.122992,False,69.0|162,84
1,8|84|8|84|vc|5|2|162|2|162|69.0,75428.5,786.472,-3.72252,10.4629,1.1866e-11,0.122992,False,69.0|162,84
1,8|84|8|84|vc|6|2|162|2|162|69.0,75428.5,786.472,-2.62161,0.307975,1.1866e-11,0.122992,False,69.0|162,84
1,8|84|8|84|vc|7|2|162|2|162|69.0,75428.5,786.472,-0.669441,6.42378,1.1866e-11,0.122992,False,69.0|162,84
1,8|84|8|84|vc|8|2|162|2|162|69.0,75428.5,786.472,-2.93284,0.714089,1.1866e-11,0.122992,False,69.0|162,84
1,8|1042|8|1042|sample|8|162|8|162|65.0,71622,787.015,5.40552,0.621946,1.18645e-11,0.122992,True,65.0|162,1042
1,8|1042|8|1042|sample|7|162|7|162|65.0,71622,787.015,1.78983,0.896708,1.18645e-11,0.122992,True,65.0|162,1042
1,8|1042|8|1042|sample|6|162|6|162|65.0,71622,787.015,4.20306,0.105785,1.18645e-11,0.122992,True,65.0|162,1042
1,8|1042|8|1042|sample|5|162|5|162|65.0,71622,787.015,1.9101,0.25896,1.18645e-11,0.122992,True,65.0|162,1042
1,8|1042|8|1042|sample|12|162|12|162|28.0,71622,794.762,0.753127,0.176759,1.18645e-11,0.122992,True,28.0|162,1042
1,8|1042|8|1042|sample|7|162|7|162|28.0,71622,794.762,0.595564,0.248412,1.18645e-11,0.122992,True,28.0|162,1042
1,8|1042|8|1042|sample|11|162|11|162|28.0,71622,794.762,1.41434,0.267526,1.18645e-11,0.122992,True,28.0|162,1042
1,8|1042|8|1042|sample|9|162|9|162|28.0,71622,794.762,1.89633,1.40463,1.18645e-11,0.122992,True,28.0|162,1042
1,8|1042|8|1042|sample|10|162|10|162|28.0,71622,794.762,0.861975,1.27233,1.18645e-11,0.122992,True,28.0|162,1042
1,8|1042|8|1042|sample|4|162|4|162|22.0,71622,788.765,0.899366,0.157428,1.18645e-11,0.122992,True,22.0|162,1042
1,8|1042|8|1042|sample|3|162|3|162|22.0,71622,788.765,2.03779,0.832049,1.18645e-11,0.122992,True,22.0|162,1042
1,8|1042|8|1042|sample|12|162|12|162|65.0,71622,787.015,1.98992,1.01845,1.18645e-11,0.122992,True,65.0|162,1042
1,8|1042|8|1042|cc|1|1|162|1|162|69.0,71622,786.472,1.38326,2.50807,1.18645e-11,0.122992,False,69.0|162,1042
1,8|1042|8|1042|cc|2|1|162|1|162|69.0,71622,786.472,-1.94739,0.103771,1.18645e-11,0.122992,False,69.0|162,1042
1,8|1042|8|1042|cc|3|1|162|1|162|69.0,71622,786.472,-1.82686,0.690818,1.18645e-11,0.122992,False,69.0|162,1042
1,8|1042|8|1042|cc|4|1|162|1|162|69.0,71622,786.472,-1.61004,1.45183,1.18645e-11,0.122992,False,69.0|162,1042
1,8|1042|8|1042|cc|5|1|162|1|162|69.0,71622,786.472,-2.03971,0.0505229,1.18645e-11,0.122992,False,69.0|162,1042
1,8|1042|8|1042|cc|6|1|162|1|162|69.0,71622,786.472,0.0554819,0.179954,1.18645e-11,0.122992,False,69.0|162,1042
1,8|1042|8|1042|cc|7|1|162|1|162|69.0,71622,786.472,-1.09788,0.206444,1.18645e-11,0.122992,False,69.0|162,1042
1,8|1042|8|1042|cc|8|1|162|1|162|69.0,71622,786.472,2.47039,1.08784,1.18645e-11,0.122992,False,69.0|162,1042
1,8|1042|8|1042|vc|1|2|162|2|162|69.0,71622,786.472,0.180847,0.212281,1.18645e-11,0.122992,False,69.0|162,1042
1,8|1042|8|1042|vc|2|2|162|2|162|69.0,71622,786.472,0.24934,0.0436567,1.18645e-11,0.122992,False,69.0|162,1042
1,8|1042|8|1042|vc|3|2|162|2|162|69.0,71622,786.472,-0.562456,0.779791,1.18645e-11,0.122992,False,69.0|162,1042
1,8|1042|8|1042|vc|4|2|162|2|162|69.0,71622,786.472,-0.477132,0.628296,1.18645e-11,0.122992,False,69.0|162,1042
1,8|1042|8|1042|vc|5|2|162|2|162|69.0,71622,786.472,-1.75814,0.0204657,1.18645e-11,0.122992,False,69.0|162,1042
1,8|1042|8|1042|vc|6|2|162|2|162|69.0,71622,786.472,1.59118,1.68165,1.18645e-11,0.122992,False,69.0|162,1042
1,8|1042|8|1042|vc|7|2|162|2|162|69.0,71622,786.472,-0.526675,0.266765,1.18645e-11,0.122992,False,69.0|162,1042
1,8|1042|8|1042|vc|8|2|162|2|162|69.0,71622,786.472,7.14708,1.77875,1.18645e-11,0.122992,False,69.0|162,1042
1,8|719|8|719|sample|5|274|5|274|55.0,1.00001,794.014,-5.30667,0.020829,1.18643e-11,0.12299,True,55.0|274,719
1,8|719|8|719|sample|6|274|6|274|55.0,1.00001,794.014,7.11813,1.05381,1.18643e-11,0.12299,True,55.0|274,719
1,8|719|8|719|sample|3|274|3|274|55.0,1.00001,794.014,-1.19866,0.566493,1.18643e-11,0.12299,True,55.0|274,719
1,8|719|8|719|sample|4|274|4|274|55.0,1.00001,794.014,0.957329,1.48331,1.18643e-11,0.12299,True,55.0|274,719
