rep,id,L,m,e,s,alpha,k,goes_down,mab_virus,run_id
1,8|75|vc|5|2|65,790.603,1.46217,0.0513613,60.54,-0.0561051,5.15907e-08,False,69.0|65,75
1,8|75|vc|6|2|65,790.603,1.1342,0.0513617,60.5399,-0.0561051,5.15907e-08,False,69.0|65,75
1,8|75|vc|7|2|65,790.603,1.68002,0.0513612,60.5404,-0.0561051,5.15907e-08,False,69.0|65,75
1,8|75|vc|8|2|65,790.603,1.37765,0.0513612,60.5403,-0.0561051,5.15907e-08,False,69.0|65,75
1,8|291|cc|1|1|103,790.603,1.70999,0.0337396,12.9098,0.031962,-8.17298e-05,False,69.0|103,291
1,8|291|cc|2|1|103,790.603,1.3454,0.0337396,12.9098,0.031962,-8.17298e-05,False,69.0|103,291
1,8|291|cc|3|1|103,790.603,1.60355,0.0337396,12.9098,0.031962,-8.17298e-05,False,69.0|103,291
1,8|291|cc|4|1|103,790.603,1.33184,0.0337395,12.9099,0.031962,-8.17298e-05,False,69.0|103,291
1,8|291|cc|5|1|103,790.603,1.83975,0.0337397,12.9099,0.031962,-8.17298e-05,False,69.0|103,291
1,8|291|cc|6|1|103,790.603,1.42807,0.0337396,12.9098,0.031962,-8.17298e-05,False,69.0|103,291
1,8|291|cc|7|1|103,790.603,1.4893,0.0337399,12.9098,0.031962,-8.17298e-05,False,69.0|103,291
1,8|291|cc|8|1|103,790.603,1.54825,0.0337397,12.9099,0.031962,-8.17298e-05,False,69.0|103,291
1,8|291|sample|10|103,790.603,1.05451,0.0221345,1907.77,0.031962,-8.17298e-05,True,32.0|103,291
1,8|291|sample|11|103,790.603,0.920972,0.0124315,1720.7,0.031962,-8.17298e-05,True,22.0|103,291
1,8|291|sample|12|103,790.603,0.931491,0.0124314,1720.71,0.031962,-8.17298e-05,True,22.0|103,291
1,8|291|sample|3|103,790.603,1.07316,0.357928,4.29063,0.031962,-8.17298e-05,True,55.0|103,291
1,8|291|sample|4|103,790.603,1.10039,0.357932,4.29063,0.031962,-8.17298e-05,True,55.0|103,291
1,8|291|sample|5|103,790.603,1.02459,0.35793,4.29061,0.031962,-8.17298e-05,True,55.0|103,291
1,8|291|sample|6|103,790.603,0.960903,0.357932,4.29062,0.031962,-8.17298e-05,True,55.0|103,291
1,8|291|sample|7|103,790.603,1.06829,0.0221345,1907.76,0.031962,-8.17298e-05,True,32.0|103,291
1,8|291|sample|8|103,790.603,1.09783,0.0221345,1907.76,0.031962,-8.17298e-05,True,32.0|103,291
1,8|291|sample|9|103,790.603,1.04762,0.0221345,1907.76,0.031962,-8.17298e-05,True,32.0|103,291
1,8|291|vc|1|2|103,790.603,1.40507,0.03374,12.9099,0.031962,-8.17298e-05,False,69.0|103,291
1,8|291|vc|2|2|103,790.603,1.58523,0.0337396,12.9099,0.031962,-8.17298e-05,False,69.0|103,291
1,8|291|vc|3|2|103,790.603,1.31123,0.0337399,12.9098,0.031962,-8.17298e-05,False,69.0|103,291
1,8|291|vc|4|2|103,790.603,1.39256,0.0337396,12.9099,0.031962,-8.17298e-05,False,69.0|103,291
1,8|291|vc|5|2|103,790.603,1.02574,0.0337396,12.9099,0.031962,-8.17298e-05,False,69.0|103,291
1,8|291|vc|6|2|103,790.603,1.85317,0.0337397,12.9099,0.031962,-8.17298e-05,False,69.0|103,291
1,8|291|vc|7|2|103,790.603,1.61325,0.0337398,12.9099,0.031962,-8.17298e-05,False,69.0|103,291
1,8|291|vc|8|2|103,790.603,1.51542,0.0337394,12.9099,0.031962,-8.17298e-05,False,69.0|103,291
1,8|77|cc|1|1|218,790.603,1.66167,0.021405,16.6607,0.0276374,1.76353e-07,False,69.0|218,77
1,8|77|cc|2|1|218,790.603,1.44382,0.0214049,16.6607,0.0276374,1.76353e-07,False,69.0|218,77
1,8|77|cc|3|1|218,790.603,1.64309,0.021405,16.6608,0.0276374,1.76353e-07,False,69.0|218,77
1,8|77|cc|4|1|218,790.603,1.32293,0.021405,16.6607,0.0276374,1.76353e-07,False,69.0|218,77
1,8|77|cc|5|1|218,790.603,1.2637,0.0214051,16.6607,0.0276374,1.76353e-07,False,69.0|218,77
1,8|77|cc|6|1|218,790.603,1.50359,0.0214049,16.6607,0.0276374,1.76353e-07,False,69.0|218,77
1,8|77|cc|7|1|218,790.603,1.63654,0.021405,16.6606,0.0276374,1.76353e-07,False,69.0|218,77
1,8|77|cc|8|1|218,790.603,1.40571,0.021405,16.6607,0.0276374,1.76353e-07,False,69.0|218,77
1,8|77|sample|10|218,790.603,0.58145,0.182388,15.2027,0.0276374,1.76353e-07,True,32.0|218,77
1,8|77|sample|11|218,790.603,0.872815,0.0475723,158.903,0.0276374,1.76353e-07,True,22.0|218,77
1,8|77|sample|12|218,790.603,0.867046,0.0475726,158.904,0.0276374,1.76353e-07,True,22.0|218,77
1,8|77|sample|3|218,790.603,0.924734,0.617951,167.473,0.0276374,1.76353e-07,True,55.0|218,77
1,8|77|sample|4|218,790.603,0.899492,0.617949,167.474,0.0276374,1.76353e-07,True,55.0|218,77
1,8|77|sample|5|218,790.603,0.898986,0.617951,167.472,0.0276374,1.76353e-07,True,55.0|218,77
1,8|77|sample|6|218,790.603,0.875019,0.617952,167.473,0.0276374,1.76353e-07,True,55.0|218,77
1,8|77|sample|7|218,790.603,0.706254,0.182387,15.2027,0.0276374,1.76353e-07,True,32.0|218,77
1,8|77|sample|8|218,790.603,0.647729,0.182388,15.2028,0.0276374,1.76353e-07,True,32.0|218,77
1,8|77|sample|9|218,790.603,0.623068,0.18239,15.2027,0.0276374,1.76353e-07,True,32.0|218,77
1,8|77|vc|1|2|218,790.603,1.36564,0.0214049,16.6607,0.0276374,1.76353e-07,False,69.0|218,77
1,8|77|vc|2|2|218,790.603,1.50099,0.0214049,16.6607,0.0276374,1.76353e-07,False,69.0|218,77
1,8|77|vc|3|2|218,790.603,1.3355,0.0214048,16.6606,0.0276374,1.76353e-07,False,69.0|218,77
1,8|77|vc|4|2|218,790.603,1.2279,0.0214048,16.6608,0.0276374,1.76353e-07,False,69.0|218,77
1,8|77|vc|5|2|218,790.603,1.7362,0.0214048,16.6607,0.0276374,1.76353e-07,False,69.0|218,77
1,8|77|vc|6|2|218,790.603,1.57836,0.0214049,16.6607,0.0276374,1.76353e-07,False,69.0|218,77
1,8|77|vc|7|2|218,790.603,1.32182,0.021405,16.6607,0.0276374,1.76353e-07,False,69.0|218,77
