id,eta_U_SAEM,eta_L_SAEM,eta_L_gap_SAEM,eta_h_SAEM,eta_f_SAEM,eta_alpha_SAEM,eta_U_mode,eta_L_mode,eta_L_gap_mode,eta_h_mode,eta_f_mode,eta_alpha_mode,goes_down,mab_virus,run_id
14|705|14|705|sample|10|233|10|233|6.0,-2.86344e-09,-2.44943e-09,2.60077e-09,2.91281e-10,-19.1309,0,0,3.63798e-12,-1.87184e-12,1.72395e-12,-8.42561,0,True,6.0|233,705
14|705|14|705|sample|9|233|9|233|6.0,4.79893e-10,1.8482e-10,1.442e-09,-7.07274e-11,-18.8762,0,0,-3.63798e-12,-3.42126e-12,-5.28777e-12,-8.5811,0,True,6.0|233,705
14|705|14|705|sample|12|233|12|233|6.0,-1.78057e-10,3.54226e-10,-3.16063e-09,-1.64199e-09,-20.7129,0,0,0,-6.78235e-12,-4.52305e-12,-10.821,0,True,6.0|233,705
14|705|14|705|sample|11|233|11|233|6.0,1.301e-09,-6.05869e-10,9.42224e-10,-1.67789e-09,-17.0744,0,0,0,2.96208e-12,-9.75975e-12,-7.23905,0,True,6.0|233,705
14|705|14|705|cc|1|1|233|1|233|69.0,-8.05798e-10,-2.51814e-09,9.09416e-10,-1.08981e-09,0.328289,0,0,0,1.02587e-11,-1.30307e-11,0.333183,0,False,69.0|233,705
14|705|14|705|cc|2|1|233|1|233|69.0,4.30067e-10,2.86548e-09,-1.28182e-09,-2.45481e-10,0.467624,0,0,1.09139e-11,2.51221e-12,-2.19051e-11,0.472935,0,False,69.0|233,705
14|705|14|705|cc|3|1|233|1|233|69.0,4.42757e-10,4.50134e-10,-3.20701e-10,-2.01298e-09,-0.0604663,0,0,0,-3.26184e-13,2.59126e-13,-0.0627013,0,False,69.0|233,705
14|705|14|705|cc|4|1|233|1|233|69.0,-1.69e-09,-1.09486e-09,-5.48396e-11,1.48913e-09,-0.446528,0,0,-7.27596e-12,-1.71281e-11,4.99689e-12,0.00182785,0,False,69.0|233,705
14|705|14|705|cc|5|1|233|1|233|69.0,2.57423e-10,2.04374e-09,8.73055e-10,6.72721e-10,2.06157,0,0,0,-1.15685e-12,3.47589e-12,-2.76751e-05,0,False,69.0|233,705
14|705|14|705|cc|6|1|233|1|233|69.0,1.99361e-11,-2.0152e-09,-1.39033e-09,-1.73662e-09,0.316713,0,0,0,2.66764e-12,-4.32987e-14,0.318318,0,False,69.0|233,705
14|705|14|705|cc|7|1|233|1|233|69.0,-3.53786e-10,-4.49072e-10,-8.80173e-11,3.04828e-10,0.80409,0,0,-9.09495e-12,-2.26552e-12,-5.08904e-12,0.00063615,0,False,69.0|233,705
14|705|14|705|cc|8|1|233|1|233|69.0,-3.38914e-10,-4.76575e-11,2.67539e-10,4.14055e-10,-0.114342,0,0,0,-2.27796e-12,-4.4873e-12,-0.115953,0,False,69.0|233,705
14|705|14|705|vc|1|2|233|2|233|69.0,2.69356e-10,-2.91984e-09,1.02435e-09,2.74631e-09,0.537614,0,0,-3.63798e-12,1.2812e-12,2.61124e-12,0.548675,0,False,69.0|233,705
14|705|14|705|vc|2|2|233|2|233|69.0,-5.34696e-10,-4.20605e-10,1.35386e-09,6.61515e-10,0.971328,0,0,0,-2.44249e-14,-4.57945e-12,0.000758701,0,False,69.0|233,705
