rep,id,L_gap,m,e,alpha,k,goes_down,mab_virus,run_id
1,14|555|14|555|sample|4|233|4|233|6.0,6.50189,1.71629,4.91631,0.0806104,0.00687801,True,6.0|233,555
1,14|555|14|555|sample|3|233|3|233|6.0,6.13591,1.71629,6.50634,0.0806104,0.00687801,True,6.0|233,555
1,14|555|14|555|sample|5|233|5|233|6.0,7.09818,1.71629,5.47523,0.0806104,0.00687801,True,6.0|233,555
1,14|555|14|555|sample|6|233|6|233|6.0,5.45793,1.71629,10.5865,0.0806104,0.00687801,True,6.0|233,555
1,14|555|14|555|sample|7|233|7|233|6.0,3.8346,1.71629,0.254783,0.0806104,0.00687801,True,6.0|233,555
1,14|555|14|555|sample|8|233|8|233|6.0,1.67576,1.71629,0.252849,0.0806104,0.00687801,True,6.0|233,555
1,14|555|14|555|sample|9|233|9|233|6.0,6.76349,1.71629,7.41859,0.0806104,0.00687801,True,6.0|233,555
1,14|555|14|555|sample|10|233|10|233|6.0,6.95737,1.71629,3.98488,0.0806104,0.00687801,True,6.0|233,555
1,14|555|14|555|sample|12|233|12|233|6.0,0.515777,1.71629,0.107498,0.0806104,0.00687801,True,6.0|233,555
1,14|555|14|555|sample|11|233|11|233|6.0,-0.523508,1.71629,0.153036,0.0806104,0.00687801,True,6.0|233,555
1,14|555|14|555|cc|1|1|233|1|233|69.0,-0.800233,1.71643,4.07838,0.0806104,0.00687801,False,69.0|233,555
1,14|555|14|555|cc|2|1|233|1|233|69.0,11.0315,1.71643,5.57225,0.0806104,0.00687801,False,69.0|233,555
1,14|555|14|555|cc|3|1|233|1|233|69.0,4.60538,1.71643,2.36796,0.0806104,0.00687801,False,69.0|233,555
1,14|555|14|555|cc|4|1|233|1|233|69.0,3.47795,1.71643,0.0369945,0.0806104,0.00687801,False,69.0|233,555
1,14|555|14|555|cc|5|1|233|1|233|69.0,-0.187493,1.71643,0.00083309,0.0806104,0.00687801,False,69.0|233,555
1,14|555|14|555|cc|6|1|233|1|233|69.0,1.59349,1.71643,0.0777571,0.0806104,0.00687801,False,69.0|233,555
1,14|555|14|555|cc|7|1|233|1|233|69.0,-0.0117518,1.71643,4.67233,0.0806104,0.00687801,False,69.0|233,555
1,14|555|14|555|cc|8|1|233|1|233|69.0,2.2627,1.71643,0.11002,0.0806104,0.00687801,False,69.0|233,555
1,14|555|14|555|vc|1|2|233|2|233|69.0,3.79803,1.71643,0.0358403,0.0806104,0.00687801,False,69.0|233,555
1,14|555|14|555|vc|2|2|233|2|233|69.0,3.45908,1.71643,0.00153583,0.0806104,0.00687801,False,69.0|233,555
1,14|555|14|555|vc|3|2|233|2|233|69.0,6.16123,1.71643,0.0139935,0.0806104,0.00687801,False,69.0|233,555
1,14|555|14|555|vc|4|2|233|2|233|69.0,2.22924,1.71643,1.84073,0.0806104,0.00687801,False,69.0|233,555
1,14|555|14|555|vc|5|2|233|2|233|69.0,3.49497,1.71643,1.07048,0.0806104,0.00687801,False,69.0|233,555
1,14|555|14|555|vc|6|2|233|2|233|69.0,0.60314,1.71643,0.028452,0.0806104,0.00687801,False,69.0|233,555
1,14|555|14|555|vc|7|2|233|2|233|69.0,9.1696,1.71643,0.0178601,0.0806104,0.00687801,False,69.0|233,555
1,14|555|14|555|vc|8|2|233|2|233|69.0,7.68097,1.71643,1.70773,0.0806104,0.00687801,False,69.0|233,555
1,14|394|14|394|sample|5|42|5|42|6.0,8.34983,1.71622,4.21344,0.0806352,0.0070354,True,6.0|42,394
1,14|394|14|394|sample|6|42|6|42|6.0,9.35932,1.71622,0.10987,0.0806352,0.0070354,True,6.0|42,394
1,14|394|14|394|sample|7|42|7|42|6.0,9.28573,1.71622,8.22679,0.0806352,0.0070354,True,6.0|42,394
1,14|394|14|394|sample|8|42|8|42|6.0,8.9956,1.71622,19.2891,0.0806352,0.0070354,True,6.0|42,394
1,14|394|14|394|sample|10|42|10|42|6.0,8.83715,1.71622,0.062301,0.0806352,0.0070354,True,6.0|42,394
1,14|394|14|394|sample|9|42|9|42|6.0,8.05426,1.71622,0.267343,0.0806352,0.0070354,True,6.0|42,394
1,14|394|14|394|sample|12|42|12|42|6.0,8.81601,1.71622,0.938098,0.0806352,0.0070354,True,6.0|42,394
1,14|394|14|394|sample|11|42|11|42|6.0,8.76669,1.71622,2.11093,0.0806352,0.0070354,True,6.0|42,394
1,14|394|14|394|sample|3|42|3|42|63.0,8.64003,1.71628,0.0140756,0.0806352,0.0070354,True,63.0|42,394
