id,eta_U_offset_SAEM,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_offset_mode,eta_L_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
14|183|vc|1|2|233,0.00102036,0.0146813,6.57743e-08,0,0,0,-5.63262e-08,-3.8694e-05,-1.55476e-12,0,0,0,False,69.0|233,183
14|183|vc|2|2|233,-0.00239027,-0.00389641,2.29694e-08,0,0,0,1.40427e-07,-2.46901e-05,1.9682e-12,0,0,0,False,69.0|233,183
14|183|vc|3|2|233,0.01147,0.0156619,4.18462e-08,0,0,0,4.20229e-08,-2.58206e-05,-7.02061e-12,0,0,0,False,69.0|233,183
14|183|vc|4|2|233,0.00350247,-0.0151734,4.98173e-08,0,0,0,1.10113e-07,-2.57017e-05,-9.56168e-12,0,0,0,False,69.0|233,183
14|183|vc|5|2|233,0.000384725,-0.0298735,1.84081e-08,0,0,0,1.24057e-07,-2.31309e-05,2.06146e-12,0,0,0,False,69.0|233,183
14|183|vc|6|2|233,0.00100218,0.029165,-2.44194e-08,0,0,0,-4.65606e-08,-2.49572e-05,-2.41629e-12,0,0,0,False,69.0|233,183
14|183|vc|7|2|233,0.00133377,0.007846,-3.50299e-07,0,0,0,-1.94862e-07,-2.69357e-05,-3.58868e-12,0,0,0,False,69.0|233,183
14|183|vc|8|2|233,0.00930074,-0.00786653,-7.07531e-08,0,0,0,-1.93511e-07,-3.72013e-05,-6.47038e-13,0,0,0,False,69.0|233,183
14|705|sample|3|233,-0.175552,0.0323928,2.45935e-07,0,0,0,-0.174706,-7.88306e-05,7.70917e-12,0,0,0,False,6.0|233,705
14|705|sample|4|233,-0.176297,-0.0102158,-3.97276e-07,0,0,0,-0.174997,-7.4336e-05,2.76779e-12,0,0,0,False,6.0|233,705
14|705|sample|5|233,-0.176744,0.0437407,4.83489e-07,0,0,0,-0.175048,-6.75708e-05,-1.26206e-11,0,0,0,False,6.0|233,705
14|705|sample|6|233,-0.175891,0.025776,1.12048e-07,0,0,0,-0.175104,-7.24693e-05,1.07192e-12,0,0,0,False,6.0|233,705
14|705|sample|7|233,-0.178012,-0.000449329,2.4669e-07,0,0,0,-0.175141,-6.3902e-05,-5.92748e-13,0,0,0,False,6.0|233,705
14|705|sample|8|233,-0.178212,0.019616,-1.02662e-07,0,0,0,-0.175111,-6.65537e-05,-9.39471e-12,0,0,0,False,6.0|233,705
14|705|sample|10|233,-0.1478,-0.018366,1.20265e-07,0,0,0,-0.148129,-4.06567e-05,-1.58007e-10,0,0,0,True,6.0|233,705
14|705|sample|9|233,-0.147749,-0.0161994,3.79153e-07,0,0,0,-0.148129,-2.39777e-05,8.84209e-12,0,0,0,True,6.0|233,705
14|705|sample|12|233,-0.149168,-0.00782215,4.12853e-07,0,0,0,-0.148661,-0.000320736,1.57258e-09,0,0,0,True,6.0|233,705
14|705|sample|11|233,-0.149001,0.0112601,-8.54138e-08,0,0,0,-0.148129,-4.99985e-05,4.60121e-12,0,0,0,True,6.0|233,705
14|705|cc|1|1|233,-0.00566757,-0.0137895,1.52832e-07,0,0,0,-6.58847e-08,4.04833e-07,-2.2351e-12,0,0,0,False,69.0|233,705
14|705|cc|2|1|233,0.00490391,0.00997251,1.58715e-07,0,0,0,-1.55145e-07,-9.11793e-07,-6.14664e-12,0,0,0,False,69.0|233,705
