id,U_offset_SAEM,L_SAEM,m_SAEM,e_SAEM,s_SAEM,alpha_SAEM,k_SAEM,U_offset_mode,L_mode,m_mode,e_mode,s_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
14|433|vc|2|2|99,0.0140518,835.174,0.838868,1.54698,6.69085,-10.6995,316137,0.0139281,835.174,0.838579,1.54698,0.587417,-10.7021,316687,False,69.0|99,433
14|433|vc|3|2|99,0.0140518,835.174,0.838868,1.54698,3.44852,-10.6995,316137,0.0139281,835.174,0.838579,1.54698,0.587417,-10.7021,316687,False,69.0|99,433
14|433|vc|4|2|99,0.0140518,835.174,0.838868,1.54698,3.40225,-10.6995,316137,0.0139281,835.174,0.838579,1.54698,0.587417,-10.7021,316687,False,69.0|99,433
14|433|vc|5|2|99,0.0140518,835.174,0.838868,1.54698,6.24953,-10.6995,316137,0.0139281,835.174,0.838579,1.54698,0.587417,-10.7021,316687,False,69.0|99,433
14|433|vc|6|2|99,0.0140518,835.174,0.838868,1.54698,3.80845,-10.6995,316137,0.0139281,835.174,0.838579,1.54698,0.587417,-10.7021,316687,False,69.0|99,433
14|433|vc|7|2|99,0.0140518,835.174,0.838868,1.54698,8.08918,-10.6995,316137,0.0139281,835.174,0.838579,1.54698,0.587417,-10.7021,316687,False,69.0|99,433
14|433|vc|8|2|99,0.0140518,835.174,0.838868,1.54698,5.18474,-10.6995,316137,0.0139281,835.174,0.838579,1.54698,0.587417,-10.7021,316687,False,69.0|99,433
14|297|sample|3|71,0.0140518,834.219,0.838051,1.54459,1.65546,-10.6994,316137,0.0139281,834.219,0.837798,1.54459,1.63571,-10.702,316687,True,6.0|71,297
14|297|sample|4|71,0.0140518,834.219,0.838051,1.54459,1.58725,-10.6994,316137,0.0139281,834.219,0.837798,1.54459,1.58807,-10.702,316687,True,6.0|71,297
14|297|sample|5|71,0.0140518,834.219,0.838051,1.54459,11.551,-10.6994,316137,0.0139281,834.219,0.837798,1.54459,11.9169,-10.702,316687,True,6.0|71,297
14|297|sample|6|71,0.0140518,834.219,0.838051,1.54459,11.105,-10.6994,316137,0.0139281,834.219,0.837798,1.54459,11.1554,-10.702,316687,True,6.0|71,297
14|297|sample|8|71,0.0140518,834.219,0.838051,1.54459,5.39282,-10.6994,316137,0.0139281,834.219,0.837798,1.54459,5.40476,-10.702,316687,True,6.0|71,297
14|297|sample|7|71,0.0140518,834.219,0.838051,1.54459,5.7714,-10.6994,316137,0.0139281,834.219,0.837798,1.54459,5.83491,-10.702,316687,True,6.0|71,297
14|297|sample|9|71,0.0140518,834.219,0.838051,1.54459,9.23252,-10.6994,316137,0.0139281,834.219,0.837798,1.54459,9.24589,-10.702,316687,True,6.0|71,297
14|297|sample|10|71,0.0140518,834.219,0.838051,1.54459,10.075,-10.6994,316137,0.0139281,834.219,0.837798,1.54459,9.83867,-10.702,316687,True,6.0|71,297
14|297|sample|12|71,0.0140518,834.219,0.838051,1.54459,1.0004,-10.6994,316137,0.0139281,834.219,0.837798,1.54459,0.985555,-10.702,316687,True,6.0|71,297
14|297|sample|11|71,0.0140518,834.219,0.838051,1.54459,0.85286,-10.6994,316137,0.0139281,834.219,0.837798,1.54459,0.83506,-10.702,316687,True,6.0|71,297
14|297|cc|1|1|71,0.0140518,835.216,0.838852,0.971016,3.69262,-10.6994,316137,0.0139281,835.216,0.838563,0.971016,0.5814,-10.702,316687,False,69.0|71,297
14|297|cc|2|1|71,0.0140518,835.216,0.838852,0.971016,11.3905,-10.6994,316137,0.0139281,835.216,0.838563,0.971016,0.581399,-10.702,316687,False,69.0|71,297
14|297|cc|3|1|71,0.0140518,835.216,0.838852,0.971016,5.87643,-10.6994,316137,0.0139281,835.216,0.838563,0.971016,0.5814,-10.702,316687,False,69.0|71,297
14|297|cc|4|1|71,0.0140518,835.216,0.838852,0.971016,5.31182,-10.6994,316137,0.0139281,835.216,0.838563,0.971016,0.581399,-10.702,316687,False,69.0|71,297
14|297|cc|5|1|71,0.0140518,835.216,0.838852,0.971016,18.9537,-10.6994,316137,0.0139281,835.216,0.838563,0.971016,0.5814,-10.702,316687,False,69.0|71,297
14|297|cc|6|1|71,0.0140518,835.216,0.838852,0.971016,7.95692,-10.6994,316137,0.0139281,835.216,0.838563,0.971016,0.5814,-10.702,316687,False,69.0|71,297
14|297|cc|7|1|71,0.0140518,835.216,0.838852,0.971016,6.88953,-10.6994,316137,0.0139281,835.216,0.838563,0.971016,0.581399,-10.702,316687,False,69.0|71,297
14|297|cc|8|1|71,0.0140518,835.216,0.838852,0.971016,6.86775,-10.6994,316137,0.0139281,835.216,0.838563,0.971016,0.581399,-10.702,316687,False,69.0|71,297
14|297|vc|1|2|71,0.0140518,835.216,0.838852,0.971016,42.3465,-10.6994,316137,0.0139281,835.216,0.838563,0.971016,0.5814,-10.702,316687,False,69.0|71,297
