id,eta_U_offset_SAEM,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_s_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_offset_mode,eta_L_mode,eta_m_mode,eta_e_mode,eta_s_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
14|297|cc|7|1|71,0,-2.05872e-08,0,9.19986e-09,-0.215576,0,0,0,-3.41061e-13,0,-6.32803e-13,-1.14628e-07,0,0,False,69.0|71,297
14|297|cc|8|1|71,0,-3.7431e-08,0,-4.89264e-07,-0.183274,0,0,0,-1.36424e-12,0,6.72285e-13,-9.66218e-07,0,0,False,69.0|71,297
14|297|vc|1|2|71,0,2.63162e-08,0,-9.33934e-08,-0.207524,0,0,0,-2.27374e-13,0,-1.37365e-12,1.15408e-06,0,0,False,69.0|71,297
14|297|vc|2|2|71,0,-5.76796e-08,0,-3.23408e-07,0.0348356,0,0,0,-1.02318e-12,0,-5.41171e-13,-6.81534e-08,0,0,False,69.0|71,297
14|297|vc|3|2|71,0,5.50985e-08,0,1.95605e-07,0.133887,0,0,0,-6.82121e-13,0,-1.16275e-13,6.09713e-08,0,0,False,69.0|71,297
14|297|vc|4|2|71,0,-5.47886e-09,0,-2.20112e-07,0.215142,0,0,0,6.82121e-13,0,3.85744e-13,-8.30745e-08,0,0,False,69.0|71,297
14|297|vc|5|2|71,0,4.18103e-08,0,-9.58892e-08,-0.0121748,0,0,0,-2.27374e-13,0,-1.53072e-13,2.20484e-07,0,0,False,69.0|71,297
14|297|vc|6|2|71,0,-8.8952e-08,0,3.01226e-07,0.0508045,0,0,0,2.27374e-13,0,-4.61679e-14,-3.29983e-07,0,0,False,69.0|71,297
14|297|vc|7|2|71,0,6.48473e-08,0,-2.72808e-08,-0.150668,0,0,0,-6.82121e-13,0,3.84831e-14,-1.12419e-07,0,0,False,69.0|71,297
14|297|vc|8|2|71,0,-1.14304e-08,0,1.25641e-07,-0.0263785,0,0,0,6.82121e-13,0,-8.55045e-13,9.2858e-07,0,0,False,69.0|71,297
14|183|sample|4|233,0,6.20376e-08,0,-4.56626e-07,0.334295,0,0,0,-7.27596e-12,0,1.13738e-11,0.305165,0,0,True,6.0|233,183
14|183|sample|3|233,0,-2.94173e-07,0,3.42312e-07,0.458244,0,0,0,3.86535e-12,0,9.34053e-12,0.357515,0,0,True,6.0|233,183
14|183|sample|6|233,0,-1.07522e-07,0,-3.72326e-07,0.910847,0,0,0,-5.22959e-12,0,4.32099e-13,0.89552,0,0,True,6.0|233,183
14|183|sample|5|233,0,1.01826e-07,0,-5.33388e-07,0.985551,0,0,0,1.13687e-12,0,-1.26485e-11,0.8984,0,0,True,6.0|233,183
14|183|sample|7|233,0,-4.16146e-07,0,3.04126e-07,0.084142,0,0,0,-8.6402e-12,0,-8.66818e-12,0.0641841,0,0,True,6.0|233,183
14|183|sample|8|233,0,-5.55502e-08,0,5.24717e-07,0.0667408,0,0,0,9.09495e-13,0,-1.39175e-11,0.058856,0,0,True,6.0|233,183
14|183|sample|10|233,0,1.92179e-07,0,-1.84684e-07,1.28107,0,0,0,-3.29692e-12,0,7.8173e-12,1.24046,0,0,True,6.0|233,183
14|183|sample|9|233,0,-6.30596e-08,0,-9.6967e-08,1.00516,0,0,0,-5.68434e-13,0,-1.8251e-11,0.988172,0,0,True,6.0|233,183
14|183|sample|12|233,0,2.65247e-07,0,-1.01184e-08,0.0844377,0,0,0,-3.41061e-12,0,-6.30385e-13,0.0431576,0,0,True,6.0|233,183
14|183|sample|11|233,0,3.49359e-07,0,3.40172e-07,-0.515267,0,0,0,5.45697e-12,0,-1.11626e-11,-0.568901,0,0,True,6.0|233,183
14|183|cc|1|1|233,0,3.7848e-09,0,-1.15772e-07,0.0355518,0,0,0,-2.16005e-12,0,-6.87006e-13,1.17207e-06,0,0,False,69.0|233,183
14|183|cc|2|1|233,0,-3.77712e-07,0,-9.95873e-08,0.110265,0,0,0,1.25056e-12,0,-7.73603e-13,2.79698e-07,0,0,False,69.0|233,183
14|183|cc|3|1|233,0,-8.64754e-08,0,-2.33353e-07,0.116972,0,0,0,0.0,0,-8.81961e-13,-3.03224e-07,0,0,False,69.0|233,183
14|183|cc|4|1|233,0,2.92829e-07,0,-8.74359e-08,0.165911,0,0,0,2.27374e-13,0,4.94049e-13,-3.03267e-07,0,0,False,69.0|233,183
14|183|cc|5|1|233,0,-1.09007e-07,0,-3.4919e-08,-0.0251091,0,0,0,-2.27374e-13,0,-2.57128e-13,3.52312e-07,0,0,False,69.0|233,183
14|183|cc|6|1|233,0,-5.97189e-08,0,-8.05076e-08,-0.134023,0,0,0,6.82121e-13,0,-5.04929e-13,5.00729e-08,0,0,False,69.0|233,183
14|183|cc|7|1|233,0,2.65302e-08,0,4.55757e-07,0.155613,0,0,0,3.41061e-13,0,3.77032e-13,3.40854e-07,0,0,False,69.0|233,183
14|183|cc|8|1|233,0,1.71653e-07,0,2.47204e-07,-0.0984302,0,0,0,7.95808e-13,0,9.41469e-14,-1.47714e-07,0,0,False,69.0|233,183
14|183|vc|1|2|233,0,-8.59101e-08,0,1.50293e-07,0.0503349,0,0,0,2.27374e-13,0,1.0556e-12,3.45298e-07,0,0,False,69.0|233,183
14|183|vc|2|2|233,0,-8.54491e-08,0,-1.1355e-07,-0.0714529,0,0,0,1.13687e-13,0,-1.95399e-13,-2.67635e-07,0,0,False,69.0|233,183
14|183|vc|3|2|233,0,-5.52733e-08,0,5.99618e-07,0.208246,0,0,0,-4.54747e-13,0,-1.62093e-13,3.55002e-07,0,0,False,69.0|233,183
14|183|vc|4|2|233,0,-2.42627e-07,0,-3.80281e-07,0.0122355,0,0,0,4.54747e-13,0,-5.27134e-13,2.56197e-07,0,0,False,69.0|233,183
14|183|vc|5|2|233,0,3.13588e-08,0,1.92178e-07,-0.0414307,0,0,0,0.0,0,-7.71383e-13,-3.09701e-09,0,0,False,69.0|233,183
14|183|vc|6|2|233,0,-8.45219e-09,0,3.24207e-08,1.40004e-05,0,0,0,1.13687e-13,0,-4.28102e-13,-1.49442e-07,0,0,False,69.0|233,183
14|183|vc|7|2|233,0,-1.68317e-08,0,7.75879e-08,0.115465,0,0,0,-6.82121e-13,0,9.05942e-13,-2.66131e-07,0,0,False,69.0|233,183
