id,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_s_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_mode,eta_m_mode,eta_e_mode,eta_s_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|847|sample|7|69,0,2.7728e-07,-0.954587,1.06956,0,0,0,9.90911e-11,-0.234007,0.570227,0,0,True,32.0|69,847
8|847|sample|8|69,0,-4.74185e-07,-0.653842,0.933357,0,0,0,4.9219e-11,-0.108228,0.526867,0,0,True,32.0|69,847
8|847|sample|9|69,0,1.61088e-07,0.0589692,0.512206,0,0,0,-6.85657e-11,0.149008,0.454068,0,0,True,32.0|69,847
8|847|vc|1|2|69,0,-5.52327e-07,-0.0435124,-0.214647,0,0,0,-1.56097e-13,-3.42952e-07,5.36106e-07,0,0,False,69.0|69,847
8|847|vc|2|2|69,0,2.09514e-08,-0.0849902,0.134711,0,0,0,-4.9627e-13,2.49381e-07,-4.31408e-08,0,0,False,69.0|69,847
8|847|vc|3|2|69,0,-1.42184e-07,0.0655695,0.0796766,0,0,0,-1.54388e-12,-1.15729e-07,-6.01217e-07,0,0,False,69.0|69,847
8|847|vc|4|2|69,0,-5.347e-07,0.0434441,-0.0191378,0,0,0,4.49196e-13,2.13753e-07,5.76062e-07,0,0,False,69.0|69,847
8|847|vc|5|2|69,0,1.32544e-07,-0.0574338,0.113844,0,0,0,1.44551e-13,3.1107e-07,-2.04094e-07,0,0,False,69.0|69,847
8|847|vc|6|2|69,0,-7.11809e-08,-0.0956096,0.0146709,0,0,0,-2.85771e-13,4.02555e-08,3.98343e-07,0,0,False,69.0|69,847
8|847|vc|7|2|69,0,1.83485e-07,-0.114363,0.0569202,0,0,0,-4.15668e-13,-9.39315e-08,5.18899e-07,0,0,False,69.0|69,847
8|847|vc|8|2|69,0,-2.58138e-07,-0.0180963,-0.0851075,0,0,0,1.75482e-12,-1.96229e-07,-2.71662e-07,0,0,False,69.0|69,847
8|474|cc|1|1|276,0,-1.29042e-08,-0.0567341,0.043578,0,0,0,1.88249e-12,-1.13e-07,3.92648e-07,0,0,False,69.0|276,474
8|474|cc|2|1|276,0,7.55399e-09,-0.0256613,-0.102937,0,0,0,1.21192e-12,9.67459e-08,1.02749e-09,0,0,False,69.0|276,474
8|474|cc|3|1|276,0,-3.11263e-07,0.0397523,0.0800437,0,0,0,-1.78524e-13,2.24978e-07,1.04799e-07,0,0,False,69.0|276,474
8|474|cc|4|1|276,0,-1.42554e-07,0.00848645,-0.00899753,0,0,0,3.45057e-13,-1.44979e-07,1.28118e-07,0,0,False,69.0|276,474
8|474|cc|5|1|276,0,3.95495e-07,-0.110545,-0.159146,0,0,0,6.20837e-13,2.92576e-07,1.26958e-07,0,0,False,69.0|276,474
8|474|cc|6|1|276,0,-4.75679e-07,0.0274218,-0.0588927,0,0,0,-1.37002e-12,-2.43241e-07,-3.8417e-08,0,0,False,69.0|276,474
8|474|cc|7|1|276,0,-5.22973e-07,0.0172386,-0.0044491,0,0,0,9.5346e-13,-2.03016e-07,2.84409e-07,0,0,False,69.0|276,474
8|474|cc|8|1|276,0,6.35339e-08,-0.13473,-0.0220978,0,0,0,-2.51799e-13,4.21311e-07,-4.4776e-07,0,0,False,69.0|276,474
8|474|sample|10|276,0,1.22009e-07,-0.0526196,1.21657,0,0,0,1.32469e-10,0.119127,1.13917,0,0,True,32.0|276,474
8|474|sample|11|276,0,4.71001e-07,0.0720442,0.217177,0,0,0,-1.15015e-11,0.115252,0.201889,0,0,True,22.0|276,474
8|474|sample|12|276,0,-6.40555e-07,0.172227,0.22688,0,0,0,-5.03755e-11,0.449123,0.0119472,0,0,True,22.0|276,474
8|474|sample|3|276,0,-1.55225e-06,-1.17445,-0.312208,0,0,0,1.60467e-10,-1.1794,-0.296635,0,0,True,55.0|276,474
8|474|sample|4|276,0,7.65751e-07,-0.920027,-0.416507,0,0,0,1.0465e-10,-0.759802,-0.517429,0,0,True,55.0|276,474
8|474|sample|5|276,0,2.8794e-07,-0.670401,-0.600541,0,0,0,9.46351e-11,-0.359422,-0.745333,0,0,True,55.0|276,474
8|474|sample|6|276,0,-4.98267e-07,-0.32321,-0.778888,0,0,0,7.76738e-11,-0.373523,-0.743764,0,0,True,55.0|276,474
8|474|sample|7|276,0,2.64272e-07,0.00630273,1.11772,0,0,0,7.69221e-11,0.0491522,1.1085,0,0,True,32.0|276,474
8|474|sample|8|276,0,-5.79219e-07,0.102974,1.03985,0,0,0,1.02813e-10,0.0521736,1.07121,0,0,True,32.0|276,474
8|474|sample|9|276,0,-4.86654e-07,0.122845,1.16888,0,0,0,1.91384e-10,0.0874893,1.1714,0,0,True,32.0|276,474
8|474|vc|1|2|276,0,3.49734e-07,-0.0539972,0.0568599,0,0,0,-1.38112e-13,-1.39395e-07,4.46838e-07,0,0,False,69.0|276,474
8|474|vc|2|2|276,0,-2.7347e-08,0.0692317,-0.00826794,0,0,0,3.90354e-13,3.46892e-07,1.17133e-07,0,0,False,69.0|276,474
8|474|vc|3|2|276,0,-2.06905e-07,-0.114253,0.0770727,0,0,0,-5.48894e-13,2.64522e-07,-1.41959e-07,0,0,False,69.0|276,474
8|474|vc|4|2|276,0,-9.37499e-08,0.040489,0.0234064,0,0,0,7.57172e-13,2.11325e-07,2.37444e-08,0,0,False,69.0|276,474
8|474|vc|5|2|276,0,-1.21207e-09,0.0212931,-0.0940156,0,0,0,-6.70575e-13,-1.14106e-07,-3.16072e-07,0,0,False,69.0|276,474
8|474|vc|6|2|276,0,1.13916e-07,-0.101864,-0.0819434,0,0,0,1.0334e-12,1.00324e-07,-1.45649e-07,0,0,False,69.0|276,474
8|474|vc|7|2|276,0,2.62209e-07,-0.0482501,-0.0569956,0,0,0,-1.28786e-14,4.22932e-07,-8.3158e-08,0,0,False,69.0|276,474
