id,L_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,L_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
14|433|vc|7|2|99,756.597,2.34417,2106.81,154.814,0.0153211,756.597,2.38916,108.259,154.896,0.0153022,False,69.0|99,433
14|433|vc|8|2|99,756.597,2.42646,812.107,154.814,0.0153211,756.597,2.38916,108.259,154.896,0.0153022,False,69.0|99,433
14|297|sample|3|71,756.701,0.935043,0.255396,154.829,0.0153263,756.701,0.942975,0.257495,154.911,0.0153069,True,6.0|71,297
14|297|sample|4|71,756.701,0.984069,0.290103,154.829,0.0153263,756.701,0.9256,0.257874,154.911,0.0153069,True,6.0|71,297
14|297|sample|5|71,756.701,1.90042,0.0309511,154.829,0.0153263,756.701,1.75921,0.0276052,154.911,0.0153069,True,6.0|71,297
14|297|sample|6|71,756.701,1.80721,0.0318388,154.829,0.0153263,756.701,1.75667,0.0298748,154.911,0.0153069,True,6.0|71,297
14|297|sample|8|71,756.701,1.72646,0.0799147,154.829,0.0153263,756.701,1.67009,0.0785818,154.911,0.0153069,True,6.0|71,297
14|297|sample|7|71,756.701,1.75301,0.0717597,154.829,0.0153263,756.701,1.77222,0.0727682,154.911,0.0153069,True,6.0|71,297
14|297|sample|9|71,756.701,2.09022,0.0445312,154.829,0.0153263,756.701,2.02471,0.042525,154.911,0.0153069,True,6.0|71,297
14|297|sample|10|71,756.701,2.10551,0.0420097,154.829,0.0153263,756.701,1.88731,0.037254,154.911,0.0153069,True,6.0|71,297
14|297|sample|12|71,756.701,0.730579,0.563526,154.829,0.0153263,756.701,0.772934,0.638116,154.911,0.0153069,True,6.0|71,297
14|297|sample|11|71,756.701,1.29747,2.10696,154.829,0.0153263,756.701,1.17235,1.83862,154.911,0.0153069,True,6.0|71,297
14|297|cc|1|1|71,757.713,2.43873,1034.0,154.829,0.0153263,757.713,2.38916,108.259,154.911,0.0153069,False,69.0|71,297
14|297|cc|2|1|71,757.713,2.38527,1587.86,154.829,0.0153263,757.713,2.38916,108.259,154.911,0.0153069,False,69.0|71,297
14|297|cc|3|1|71,757.713,2.41231,1199.38,154.829,0.0153263,757.713,2.38916,108.259,154.911,0.0153069,False,69.0|71,297
