rep,id,eta_U_offset,eta_L,eta_m,eta_e,eta_s,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,14|555|cc|1|1|233,0,-1.72386e-06,0,1.01736e-06,-0.780344,0,0,False,69.0|233,555
1,14|555|cc|2|1|233,0,1.16254e-07,0,-2.57031e-06,2.11887,0,0,False,69.0|233,555
1,14|555|cc|3|1|233,0,-2.82942e-07,0,4.21019e-06,-2.117,0,0,False,69.0|233,555
1,14|555|cc|4|1|233,0,8.98934e-07,0,-5.89753e-07,-3.93682,0,0,False,69.0|233,555
1,14|555|cc|5|1|233,0,1.74813e-06,0,-1.51002e-06,1.52461,0,0,False,69.0|233,555
1,14|555|cc|6|1|233,0,5.23182e-07,0,9.57353e-07,0.536515,0,0,False,69.0|233,555
1,14|555|cc|7|1|233,0,6.19231e-07,0,2.36001e-06,-0.890359,0,0,False,69.0|233,555
1,14|555|cc|8|1|233,0,2.65508e-06,0,4.02616e-06,3.09018,0,0,False,69.0|233,555
1,14|555|vc|1|2|233,0,1.9573e-06,0,8.20446e-07,0.392943,0,0,False,69.0|233,555
1,14|555|vc|2|2|233,0,-1.80048e-06,0,-2.58999e-06,1.02328,0,0,False,69.0|233,555
1,14|555|vc|3|2|233,0,-3.1848e-06,0,-1.40127e-06,-1.99093,0,0,False,69.0|233,555
1,14|555|vc|4|2|233,0,2.24743e-06,0,1.98632e-06,0.418304,0,0,False,69.0|233,555
1,14|555|vc|5|2|233,0,8.30762e-08,0,4.72818e-06,-0.360458,0,0,False,69.0|233,555
1,14|555|vc|6|2|233,0,2.16191e-06,0,1.54417e-06,1.78897,0,0,False,69.0|233,555
1,14|555|vc|7|2|233,0,2.77682e-06,0,6.08796e-07,-3.36048,0,0,False,69.0|233,555
1,14|555|vc|8|2|233,0,-2.23748e-06,0,7.93287e-07,-1.14409,0,0,False,69.0|233,555
1,14|394|sample|5|42,0,3.04593e-07,0,4.35582e-06,-2.56258,0,0,True,6.0|42,394
1,14|394|sample|6|42,0,2.2422e-06,0,-6.94444e-07,-2.46067,0,0,True,6.0|42,394
1,14|394|sample|7|42,0,-9.37176e-07,0,1.70346e-06,-3.83592,0,0,True,6.0|42,394
1,14|394|sample|8|42,0,5.27957e-08,0,-5.1674e-07,-3.64922,0,0,True,6.0|42,394
1,14|394|sample|10|42,0,6.78073e-07,0,-1.27201e-06,-1.98236,0,0,True,6.0|42,394
1,14|394|sample|9|42,0,-1.27291e-08,0,-1.62344e-06,-1.98744,0,0,True,6.0|42,394
1,14|394|sample|12|42,0,-3.29999e-06,0,-2.91355e-06,-2.46158,0,0,True,6.0|42,394
1,14|394|sample|11|42,0,2.79075e-07,0,2.172e-07,-2.64426,0,0,True,6.0|42,394
1,14|394|sample|3|42,0,-1.61283e-06,0,-4.77e-06,-2.54494,0,0,True,63.0|42,394
1,14|394|sample|4|42,0,3.01137e-06,0,-3.52982e-07,-2.72536,0,0,True,63.0|42,394
1,14|394|cc|1|1|42,0,9.81064e-07,0,-2.64346e-06,-2.51638,0,0,False,69.0|42,394
1,14|394|cc|2|1|42,0,1.97795e-06,0,3.30127e-06,0.502399,0,0,False,69.0|42,394
1,14|394|cc|3|1|42,0,2.07966e-06,0,-6.64085e-07,0.57318,0,0,False,69.0|42,394
1,14|394|cc|4|1|42,0,-1.01683e-06,0,3.34533e-06,2.64977,0,0,False,69.0|42,394
1,14|394|cc|5|1|42,0,-7.08347e-07,0,1.83606e-07,3.41957,0,0,False,69.0|42,394
1,14|394|cc|6|1|42,0,-5.32682e-07,0,-3.03275e-06,0.605234,0,0,False,69.0|42,394
1,14|394|cc|7|1|42,0,-9.83428e-08,0,-2.1825e-06,-1.21504,0,0,False,69.0|42,394
1,14|394|cc|8|1|42,0,4.15213e-06,0,6.16222e-06,1.09837,0,0,False,69.0|42,394
1,14|394|vc|1|2|42,0,-4.65105e-06,0,3.72229e-07,-0.488505,0,0,False,69.0|42,394
1,14|394|vc|2|2|42,0,2.73163e-06,0,-4.80972e-06,-1.11074,0,0,False,69.0|42,394
1,14|394|vc|3|2|42,0,3.94368e-06,0,-2.09198e-06,0.151066,0,0,False,69.0|42,394
1,14|394|vc|4|2|42,0,1.12234e-06,0,2.30732e-06,-1.89831,0,0,False,69.0|42,394
1,14|394|vc|5|2|42,0,-2.56816e-06,0,5.53608e-07,3.19374,0,0,False,69.0|42,394
1,14|394|vc|6|2|42,0,-9.3389e-07,0,-2.40344e-06,-1.92891,0,0,False,69.0|42,394
1,14|394|vc|7|2|42,0,-8.33153e-07,0,-2.70768e-08,-1.88464,0,0,False,69.0|42,394
1,14|394|vc|8|2|42,0,8.0115e-07,0,-2.51343e-06,2.26678,0,0,False,69.0|42,394
1,14|1099|sample|3|73,0,1.37333e-06,0,1.16532e-06,-2.17307,0,0,True,6.0|73,1099
