id,L_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,L_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
8|847|vc|8|2|69,445.218,9.91969,6.87999,49944.2,13.4012,447.039,10.0523,6.87976,50189.4,13.3988,False,69.0|69,847
8|474|cc|1|1|276,445.218,10.0198,6.87999,49944.2,13.6252,447.039,10.0523,6.87976,50189.4,13.6325,False,69.0|276,474
8|474|cc|2|1|276,445.218,9.6924,6.87999,49944.2,13.6252,447.039,10.0523,6.87976,50189.4,13.6325,False,69.0|276,474
8|474|cc|3|1|276,445.218,9.93478,6.87999,49944.2,13.6252,447.039,10.0523,6.87976,50189.4,13.6325,False,69.0|276,474
8|474|cc|4|1|276,445.218,9.94032,6.87999,49944.2,13.6252,447.039,10.0523,6.87976,50189.4,13.6325,False,69.0|276,474
8|474|cc|5|1|276,445.218,9.97493,6.87999,49944.2,13.6252,447.039,10.0523,6.87976,50189.4,13.6325,False,69.0|276,474
8|474|cc|6|1|276,445.218,10.0374,6.87999,49944.2,13.6252,447.039,10.0523,6.87976,50189.4,13.6325,False,69.0|276,474
8|474|cc|7|1|276,445.218,9.89388,6.87999,49944.2,13.6252,447.039,10.0523,6.87976,50189.4,13.6325,False,69.0|276,474
8|474|cc|8|1|276,445.218,9.95892,6.87999,49944.2,13.6252,447.039,10.0523,6.87976,50189.4,13.6325,False,69.0|276,474
8|474|sample|10|276,445.218,7.90678,6.88014,49944.2,13.6252,447.039,8.523,6.8799,50189.4,13.6325,True,32.0|276,474
8|474|sample|11|276,445.218,2.51937,6.88014,49944.2,13.6252,447.039,2.39537,6.8799,50189.4,13.6325,True,22.0|276,474
