id,eta_f_SAEM,eta_h_SAEM,eta_s_SAEM,eta_L_gap_SAEM,eta_f_mean,eta_h_mean,eta_s_mean,eta_L_gap_mean,eta_f_mode,eta_h_mode,eta_s_mode,eta_L_gap_mode,eta_f_sd,eta_h_sd,eta_s_sd,eta_L_gap_sd,mab_virus,run_id
8|1056|8|1056|sample|10|276|10|276|28.0,0.0196028,5.38296e-09,-1.34315e-08,2.17951e-11,-0.00277762,-2.2434e-09,-1.34862e-09,3.57369e-09,0.00638107,5.38125e-13,-3.55271e-15,-2.57572e-14,0.0317981,4.38886e-08,4.13401e-08,4.21074e-08,28.0|276,1056
8|1056|8|1056|sample|9|276|9|276|28.0,0.0980237,-1.14701e-08,8.39122e-09,7.38701e-09,0.0712156,-9.64293e-09,6.36596e-09,-4.66856e-09,0.0785813,-2.38587e-13,-4.41869e-13,-1.28786e-13,0.0445455,3.83004e-08,3.76231e-08,5.52999e-08,28.0|276,1056
8|1056|8|1056|sample|4|276|4|276|22.0,0.0753424,1.54431e-09,9.59386e-09,3.95815e-09,0.0760389,1.21133e-08,-8.96582e-10,-1.30041e-08,0.0807115,1.39888e-13,-5.58442e-13,8.9706e-13,0.0337973,4.23754e-08,3.80308e-08,6.10359e-08,22.0|276,1056
8|1056|8|1056|sample|3|276|3|276|22.0,0.00883882,2.09377e-09,-9.49201e-09,1.74737e-08,0.00444311,1.93298e-09,2.34756e-09,4.71265e-09,-0.0151654,-4.63962e-13,2.06724e-13,-3.90799e-13,0.0308074,4.01434e-08,4.70026e-08,5.79582e-08,22.0|276,1056
8|1056|8|1056|cc|1|1|276|1|276|69.0,-0.00458041,-5.72405e-10,2.21596e-09,-3.34161e-09,0.0352266,4.76423e-09,-4.12058e-09,5.79565e-09,-2.76421e-07,3.10862e-15,-9.76996e-15,3.55271e-15,0.71448,4.15015e-08,4.29828e-08,5.56344e-08,69.0|276,1056
8|1056|8|1056|cc|2|1|276|1|276|69.0,-0.0536013,1.22413e-10,-9.22304e-10,4.89185e-09,0.0819024,5.34983e-09,5.70184e-10,-9.83198e-09,1.18538e-07,-3.30846e-14,1.70974e-14,-1.59872e-14,0.905279,4.24351e-08,4.77062e-08,5.02028e-08,69.0|276,1056
8|1056|8|1056|cc|3|1|276|1|276|69.0,0.0369116,-4.1775e-09,-8.01139e-09,-9.0984e-10,-0.0223474,4.60463e-09,-6.3007e-10,3.40818e-10,-1.93617e-07,-4.44089e-15,-1.66533e-14,-2.30926e-14,0.777185,3.81067e-08,4.0348e-08,5.39158e-08,69.0|276,1056
8|1056|8|1056|cc|4|1|276|1|276|69.0,0.16169,-2.76413e-09,6.71592e-10,-5.31908e-09,0.12469,-4.0965e-09,-2.15513e-09,2.40255e-09,-1.9933e-07,1.37668e-14,1.77636e-14,-3.01981e-14,0.927058,4.25329e-08,4.49166e-08,5.48017e-08,69.0|276,1056
8|1056|8|1056|cc|5|1|276|1|276|69.0,0.156886,5.89028e-09,-7.16261e-11,6.67369e-10,0.0627531,-7.83164e-09,4.04957e-09,-8.28373e-09,9.91727e-08,-1.02141e-14,4.24105e-14,-1.42109e-14,0.854734,3.77227e-08,4.22624e-08,4.64864e-08,69.0|276,1056
8|1056|8|1056|cc|6|1|276|1|276|69.0,-0.0658455,6.88798e-09,2.73825e-09,-1.88933e-09,0.101744,-3.83929e-09,1.10183e-09,-4.32915e-09,-3.78639e-07,1.24345e-14,-4.44089e-15,-1.77636e-15,0.792593,3.49332e-08,4.2173e-08,5.86019e-08,69.0|276,1056
8|1056|8|1056|cc|7|1|276|1|276|69.0,0.0327456,-7.49003e-09,-1.07954e-08,8.77985e-09,-0.143102,3.29969e-09,-1.87687e-09,5.86057e-09,3.48321e-07,-1.19904e-14,-2.13163e-14,-3.10862e-14,0.790674,3.48443e-08,3.60238e-08,5.35004e-08,69.0|276,1056
8|1056|8|1056|cc|8|1|276|1|276|69.0,0.0900576,2.17047e-10,2.08414e-10,4.24345e-09,0.145606,4.93762e-09,8.85603e-10,1.30984e-09,7.32572e-07,-3.33067e-14,2.22045e-15,1.59872e-14,0.874851,3.92563e-08,5.10185e-08,5.86136e-08,69.0|276,1056
8|1056|8|1056|vc|1|2|276|2|276|69.0,0.0693314,1.04623e-09,-4.93729e-10,-3.24428e-09,0.0105422,5.84348e-09,-2.91224e-09,6.92025e-10,8.94643e-08,-4.35207e-14,-1.64313e-14,4.70735e-14,0.801171,4.11052e-08,4.59254e-08,5.2939e-08,69.0|276,1056
