id,eta_f_SAEM,eta_h_SAEM,eta_L_gap_SAEM,eta_f_mean,eta_h_mean,eta_L_gap_mean,eta_f_mode,eta_h_mode,eta_L_gap_mode,eta_f_sd,eta_h_sd,eta_L_gap_sd,mab_virus,run_id
8|1056|8|1056|vc|6|2|276|2|276|69.0,-0.11588,-1.63557e-09,-4.17554e-09,-0.0216094,3.07129e-09,2.58496e-09,3.25639e-07,-7.10543e-15,1.77636e-15,2.40293,2.61939e-08,3.29721e-08,69.0|276,1056
8|1056|8|1056|vc|7|2|276|2|276|69.0,-0.308656,6.877e-11,8.3015e-10,-0.0244655,-4.5752e-10,-5.70125e-10,-3.55858e-07,0,5.32907e-15,2.57178,2.61632e-08,3.51257e-08,69.0|276,1056
8|1056|8|1056|vc|8|2|276|2|276|69.0,-0.0518864,3.69603e-09,-9.29362e-10,0.19551,9.85281e-10,-5.36291e-10,-3.86036e-07,3.55271e-15,-4.44089e-15,2.67518,2.74169e-08,3.37216e-08,69.0|276,1056
8|462|8|462|sample|6|292|6|292|55.0,-1.49287,-2.03895e-09,8.65798e-09,-1.40314,-2.4396e-09,1.08239e-09,-1.46348,2.83662e-14,-1.38556e-13,0.198846,2.25738e-08,2.9694e-08,55.0|292,462
8|462|8|462|sample|5|292|5|292|55.0,-1.15805,2.70568e-09,-4.77476e-10,-1.15597,1.19724e-09,-3.52928e-10,-1.16959,5.81757e-14,1.42109e-14,0.215009,2.8175e-08,3.28104e-08,55.0|292,462
8|462|8|462|sample|4|292|4|292|55.0,-1.31188,5.93205e-09,-2.2512e-09,-1.18917,-3.01387e-09,2.44488e-09,-1.28536,3.74145e-14,-2.4869e-14,0.330242,2.71815e-08,3.1341e-08,55.0|292,462
8|462|8|462|sample|3|292|3|292|55.0,-1.05552,-5.16865e-09,9.80796e-09,-1.1333,-2.57228e-09,-2.50754e-09,-1.14705,2.38143e-14,1.01252e-13,0.227693,2.96574e-08,3.24336e-08,55.0|292,462
8|462|8|462|sample|9|292|9|292|32.0,-3.87143,-1.12174e-09,4.43992e-09,-3.88278,-2.40339e-09,5.59825e-09,-3.88158,-1.42331e-13,7.74936e-14,0.069428,2.96336e-08,3.22223e-08,32.0|292,462
8|462|8|462|sample|10|292|10|292|32.0,-3.82704,1.07304e-09,-6.94314e-09,-3.84527,1.09346e-10,-8.55558e-10,-3.84862,-2.57572e-13,2.43361e-13,0.063379,2.24136e-08,2.84573e-08,32.0|292,462
8|462|8|462|sample|7|292|7|292|32.0,-3.71282,4.49456e-09,-6.22953e-09,-3.72286,2.13663e-10,5.13064e-10,-3.73323,-8.83738e-14,1.68532e-13,0.0534782,2.5201e-08,3.13921e-08,32.0|292,462
8|462|8|462|sample|8|292|8|292|32.0,-3.69458,4.34981e-09,-1.29037e-09,-3.72419,6.86583e-10,-9.63205e-10,-3.71199,1.82077e-14,-1.79856e-13,0.0661708,2.72249e-08,3.18983e-08,32.0|292,462
8|462|8|462|sample|11|292|11|292|22.0,-1.29994,5.85683e-09,-3.32744e-10,-1.29047,-1.08963e-10,5.71283e-09,-1.31889,-4.35652e-13,6.39488e-14,0.0641437,2.80288e-08,3.21305e-08,22.0|292,462
8|462|8|462|sample|12|292|12|292|22.0,-1.278,-4.93759e-09,2.72691e-09,-1.3028,-2.98796e-10,1.12306e-09,-1.30291,-5.24025e-14,2.14939e-13,0.0748192,2.86967e-08,2.97669e-08,22.0|292,462
8|462|8|462|cc|1|1|292|1|292|69.0,0.012283,7.46976e-10,-7.16919e-09,-0.267717,-5.15187e-10,-3.93596e-09,-2.76187e-07,4.09742e-15,8.88178e-16,2.40457,2.38715e-08,2.96888e-08,69.0|292,462
8|462|8|462|cc|2|1|292|1|292|69.0,0.176864,2.47173e-10,3.54858e-09,0.247927,2.05323e-09,-3.90448e-09,-1.09599e-07,-8.06646e-15,-5.32907e-15,2.50097,2.56327e-08,2.98266e-08,69.0|292,462
8|462|8|462|cc|3|1|292|1|292|69.0,0.294712,-4.998e-09,-9.4646e-09,0.126795,1.87993e-10,-7.7953e-10,-1.81947e-08,4.1217e-15,3.55271e-15,2.12386,2.7651e-08,3.21972e-08,69.0|292,462
8|462|8|462|cc|4|1|292|1|292|69.0,0.157944,7.1609e-10,4.81578e-09,-0.0206546,1.53781e-09,1.89832e-09,2.15154e-07,-7.10543e-15,-7.10543e-15,2.48941,2.5201e-08,3.25478e-08,69.0|292,462
8|462|8|462|cc|5|1|292|1|292|69.0,-0.508885,2.38249e-10,8.34956e-09,0.0371557,-1.18581e-09,3.33322e-09,-5.26852e-08,-3.05311e-16,7.10543e-15,2.3577,2.61122e-08,3.18018e-08,69.0|292,462
8|462|8|462|cc|6|1|292|1|292|69.0,-0.0659804,5.46872e-09,-6.23769e-09,-0.244239,1.77607e-09,1.87947e-09,1.09895e-07,-1.4086e-15,-5.32907e-15,2.61188,2.62915e-08,2.96918e-08,69.0|292,462
8|462|8|462|cc|7|1|292|1|292|69.0,-0.190862,-2.34912e-09,8.25282e-09,0.107768,-2.36372e-09,8.29068e-10,-3.2666e-07,7.41768e-15,-1.77636e-15,2.55975,2.80254e-08,2.98214e-08,69.0|292,462
8|462|8|462|cc|8|1|292|1|292|69.0,0.220467,1.0144e-09,4.75741e-09,-0.0964138,-1.7925e-10,1.33172e-09,4.18888e-07,-2.10942e-15,5.32907e-15,2.40534,2.60815e-08,3.33467e-08,69.0|292,462
8|462|8|462|vc|1|2|292|2|292|69.0,0.370311,1.73121e-09,2.61022e-09,0.125552,-8.74106e-10,1.2638e-09,-5.48473e-07,5.44703e-15,0,2.27728,2.82108e-08,3.21733e-08,69.0|292,462
8|462|8|462|vc|2|2|292|2|292|69.0,0.321778,3.44839e-09,-4.07878e-09,0.0291843,-6.59263e-10,-2.91249e-09,0.0298382,-1.34951e-12,1.95577e-12,2.55137,2.67987e-08,3.10372e-08,69.0|292,462
8|462|8|462|vc|3|2|292|2|292|69.0,-0.0723699,3.88009e-10,-5.70176e-09,-0.0113464,-4.81951e-09,1.49545e-09,6.60264e-07,7.99361e-15,-8.88178e-16,2.38592,2.88616e-08,2.94942e-08,69.0|292,462
8|462|8|462|vc|4|2|292|2|292|69.0,0.28472,-1.97273e-09,9.35374e-10,0.00986073,-6.04329e-10,4.02649e-10,3.178e-07,-2.47025e-15,-7.10543e-15,2.5216,2.8799e-08,3.28304e-08,69.0|292,462
8|462|8|462|vc|5|2|292|2|292|69.0,0.0546455,2.08693e-09,2.65006e-09,-0.0106805,-3.53241e-09,-4.17987e-09,3.18882e-08,8.62505e-15,0,2.50553,2.79792e-08,3.09743e-08,69.0|292,462
8|462|8|462|vc|6|2|292|2|292|69.0,-0.582884,-2.16096e-09,-5.73845e-09,-0.0740177,1.58212e-09,4.90571e-09,4.53918e-07,1.58901e-15,-2.66454e-15,2.48497,2.60156e-08,3.09851e-08,69.0|292,462
8|462|8|462|vc|7|2|292|2|292|69.0,-0.112967,5.25713e-09,-2.38611e-09,0.0950885,-6.87774e-10,6.1332e-10,3.88393e-07,-2.71658e-15,0,2.6585,2.67217e-08,3.00369e-08,69.0|292,462
8|462|8|462|vc|8|2|292|2|292|69.0,-0.103985,5.37611e-10,6.06063e-09,-0.0349124,1.00449e-09,2.1119e-09,2.73834e-07,1.81799e-15,8.88178e-15,2.47586,2.83314e-08,2.97427e-08,69.0|292,462
8|1159|8|1159|sample|8|292|8|292|65.0,-1.47288,9.34051e-09,-7.09589e-09,-1.47916,-1.53457e-09,-4.16082e-09,-1.4799,-1.48104e-13,2.69007e-13,0.0600442,2.65451e-08,3.14455e-08,65.0|292,1159
8|1159|8|1159|sample|7|292|7|292|65.0,-1.3691,-9.51887e-09,-2.6717e-09,-1.3961,5.37141e-10,-2.99699e-09,-1.38983,-3.14637e-13,8.9706e-14,0.0613784,2.85141e-08,3.0857e-08,65.0|292,1159
8|1159|8|1159|sample|5|292|5|292|65.0,-1.46554,4.02109e-09,6.63255e-09,-1.42207,-8.0227e-10,-1.21146e-09,-1.44714,-1.78302e-13,-5.08482e-14,0.07267,2.47176e-08,3.64191e-08,65.0|292,1159
