id,U_SAEM,L_SAEM,h_SAEM,f_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,h_mode,f_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
14|1099|14|1099|cc|6|1|73|1|73|69.0,0.999999,790.068,1.43561,9.70853e+11,6.40339e-11,0.457862,0.999999,790.068,1.43561,1.00001,6.43053e-11,0.457025,False,69.0|73,1099
14|1099|14|1099|cc|7|1|73|1|73|69.0,0.999999,790.068,1.43561,3.22306e+15,6.40339e-11,0.457862,0.999999,790.068,1.43561,1.00001,6.43053e-11,0.457025,False,69.0|73,1099
14|1099|14|1099|cc|8|1|73|1|73|69.0,0.999999,790.068,1.43561,1.83839e+14,6.40339e-11,0.457862,0.999999,790.068,1.43561,1,6.43053e-11,0.457025,False,69.0|73,1099
14|1099|14|1099|vc|1|2|73|2|73|69.0,0.999999,790.068,1.43561,6.58086e+11,6.40339e-11,0.457862,0.999999,790.068,1.43561,1,6.43053e-11,0.457025,False,69.0|73,1099
14|1099|14|1099|vc|2|2|73|2|73|69.0,0.999999,790.068,1.43561,1.61552e+10,6.40339e-11,0.457862,0.999999,790.068,1.43561,0.999998,6.43053e-11,0.457025,False,69.0|73,1099
14|1099|14|1099|vc|3|2|73|2|73|69.0,0.999999,790.068,1.43561,1.16647e+11,6.40339e-11,0.457862,0.999999,790.068,1.43561,1.00001,6.43053e-11,0.457025,False,69.0|73,1099
14|1099|14|1099|vc|4|2|73|2|73|69.0,0.999999,790.068,1.43561,3.58835e+12,6.40339e-11,0.457862,0.999999,790.068,1.43561,1.03314,6.43053e-11,0.457025,False,69.0|73,1099
14|1099|14|1099|vc|5|2|73|2|73|69.0,0.999999,790.068,1.43561,3.69181e+12,6.40339e-11,0.457862,0.999999,790.068,1.43561,1.0249,6.43053e-11,0.457025,False,69.0|73,1099
14|1099|14|1099|vc|6|2|73|2|73|69.0,0.999999,790.068,1.43561,1.22273e+17,6.40339e-11,0.457862,0.999999,790.068,1.43561,1.00003,6.43053e-11,0.457025,False,69.0|73,1099
14|1099|14|1099|vc|7|2|73|2|73|69.0,0.999999,790.068,1.43561,6.65951e+13,6.40339e-11,0.457862,0.999999,790.068,1.43561,1.00001,6.43053e-11,0.457025,False,69.0|73,1099
14|1099|14|1099|vc|8|2|73|2|73|69.0,0.999999,790.068,1.43561,3.04349e+13,6.40339e-11,0.457862,0.999999,790.068,1.43561,1,6.43053e-11,0.457025,False,69.0|73,1099
14|611|14|611|sample|4|73|4|73|6.0,1,795.007,-0.975526,0.0355284,6.41296e-11,0.457865,1,795.007,-0.975526,6.31053e-05,6.44017e-11,0.457027,True,6.0|73,611
14|611|14|611|sample|3|73|3|73|6.0,1,795.007,-0.975526,0.00447702,6.41296e-11,0.457865,1,795.007,-0.975526,6.45204e-05,6.44017e-11,0.457027,True,6.0|73,611
14|611|14|611|sample|5|73|5|73|6.0,1,795.007,-0.975526,6546.81,6.41296e-11,0.457865,1,795.007,-0.975526,6.2606e-05,6.44017e-11,0.457027,True,6.0|73,611
14|611|14|611|sample|6|73|6|73|6.0,1,795.007,-0.975526,0.22815,6.41296e-11,0.457865,1,795.007,-0.975526,6.39641e-05,6.44017e-11,0.457027,True,6.0|73,611
