rep,id,L,m,e,alpha,k,goes_down,mab_virus,run_id
1,8|474|vc|3|2|276,474.605,1.3747,3.94981,67107.4,14.4742,False,69.0|276,474
1,8|474|vc|4|2|276,474.605,1.3747,3.16584,67107.4,14.4742,False,69.0|276,474
1,8|474|vc|5|2|276,474.605,1.3747,0.417175,67107.4,14.4742,False,69.0|276,474
1,8|474|vc|6|2|276,474.605,1.3747,0.309694,67107.4,14.4742,False,69.0|276,474
1,8|474|vc|7|2|276,474.605,1.3747,3.84383,67107.4,14.4742,False,69.0|276,474
1,8|474|vc|8|2|276,474.605,1.3747,500.075,67107.4,14.4742,False,69.0|276,474
1,8|462|cc|1|1|292,474.604,1.37445,8.54958,67107.4,13.2852,False,69.0|292,462
1,8|462|cc|2|1|292,474.604,1.37445,115.199,67107.4,13.2852,False,69.0|292,462
1,8|462|cc|3|1|292,474.604,1.37445,40.4656,67107.4,13.2852,False,69.0|292,462
1,8|462|cc|4|1|292,474.604,1.37445,0.355651,67107.4,13.2852,False,69.0|292,462
1,8|462|cc|5|1|292,474.604,1.37445,1.76416,67107.4,13.2852,False,69.0|292,462
1,8|462|cc|6|1|292,474.604,1.37445,5.2157,67107.4,13.2852,False,69.0|292,462
1,8|462|cc|7|1|292,474.604,1.37445,20.5312,67107.4,13.2852,False,69.0|292,462
1,8|462|cc|8|1|292,474.604,1.37445,36.9705,67107.4,13.2852,False,69.0|292,462
1,8|462|sample|10|292,474.605,1.84,41.1493,67107.4,13.2852,True,32.0|292,462
1,8|462|sample|11|292,474.605,1.37469,3.95315,67107.4,13.2852,True,22.0|292,462
1,8|462|sample|12|292,474.605,1.37469,4.73154,67107.4,13.2852,True,22.0|292,462
1,8|462|sample|3|292,474.606,1.37469,0.35687,67107.4,13.2852,True,55.0|292,462
1,8|462|sample|4|292,474.606,1.37469,0.312668,67107.4,13.2852,True,55.0|292,462
1,8|462|sample|5|292,474.606,1.37469,0.116024,67107.4,13.2852,True,55.0|292,462
1,8|462|sample|6|292,474.606,1.37469,0.0952293,67107.4,13.2852,True,55.0|292,462
1,8|462|sample|7|292,474.605,1.84,35.6964,67107.4,13.2852,True,32.0|292,462
1,8|462|sample|8|292,474.605,1.84,38.103,67107.4,13.2852,True,32.0|292,462
1,8|462|sample|9|292,474.605,1.84,46.845,67107.4,13.2852,True,32.0|292,462
1,8|462|vc|1|2|292,474.604,1.37445,133.103,67107.4,13.2852,False,69.0|292,462
1,8|462|vc|2|2|292,474.604,1.37445,7.52997,67107.4,13.2852,False,69.0|292,462
1,8|462|vc|3|2|292,474.604,1.37445,4.6444,67107.4,13.2852,False,69.0|292,462
1,8|462|vc|4|2|292,474.604,1.37445,0.00569322,67107.4,13.2852,False,69.0|292,462
1,8|462|vc|5|2|292,474.604,1.37445,11.6885,67107.4,13.2852,False,69.0|292,462
1,8|462|vc|6|2|292,474.604,1.37445,8.32215,67107.4,13.2852,False,69.0|292,462
1,8|462|vc|7|2|292,474.604,1.37445,9.70316,67107.4,13.2852,False,69.0|292,462
1,8|462|vc|8|2|292,474.604,1.37445,6.30653,67107.4,13.2852,False,69.0|292,462
1,8|75|cc|1|1|65,474.605,1.37461,4.79023,67107.4,14.4742,False,69.0|65,75
1,8|75|cc|2|1|65,474.605,1.37461,0.269324,67107.4,14.4742,False,69.0|65,75
1,8|75|cc|3|1|65,474.605,1.37461,15.0526,67107.4,14.4742,False,69.0|65,75
1,8|75|cc|4|1|65,474.605,1.37461,24.5827,67107.4,14.4742,False,69.0|65,75
1,8|75|cc|5|1|65,474.605,1.37461,32.2655,67107.4,14.4742,False,69.0|65,75
1,8|75|cc|6|1|65,474.605,1.37461,13.9005,67107.4,14.4742,False,69.0|65,75
1,8|75|cc|7|1|65,474.605,1.37461,0.0537637,67107.4,14.4742,False,69.0|65,75
1,8|75|cc|8|1|65,474.605,1.37461,15.7244,67107.4,14.4742,False,69.0|65,75
1,8|75|sample|10|65,474.605,1.37468,0.309408,67107.4,14.4742,True,32.0|65,75
1,8|75|sample|11|65,474.605,1.3748,14.1574,67107.4,14.4742,True,22.0|65,75
1,8|75|sample|12|65,474.605,1.3748,24.781,67107.4,14.4742,True,22.0|65,75
1,8|75|sample|3|65,474.605,1.37472,15.4434,67107.4,14.4742,True,55.0|65,75
1,8|75|sample|4|65,474.605,1.37472,17.7027,67107.4,14.4742,True,55.0|65,75
1,8|75|sample|5|65,474.605,1.37472,26.135,67107.4,14.4742,True,55.0|65,75
1,8|75|sample|6|65,474.605,1.37472,30.1806,67107.4,14.4742,True,55.0|65,75
1,8|75|sample|7|65,474.605,1.37468,0.842414,67107.4,14.4742,True,32.0|65,75
1,8|75|sample|8|65,474.605,1.37468,0.612033,67107.4,14.4742,True,32.0|65,75
1,8|75|sample|9|65,474.605,1.37468,0.320612,67107.4,14.4742,True,32.0|65,75
1,8|75|vc|1|2|65,474.605,1.37461,2.95982,67107.4,14.4742,False,69.0|65,75
1,8|75|vc|2|2|65,474.605,1.37461,33.5424,67107.4,14.4742,False,69.0|65,75
