id,eta_L_gap_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_gap_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
14|297|14|297|vc|2|2|71|2|71|69.0,0,-0.0328277,0,0,0,0,-1.45257e-07,0,0,0,False,69.0|71,297
14|297|14|297|vc|3|2|71|2|71|69.0,0,-0.12581,0,0,0,0,-1.945e-08,0,0,0,False,69.0|71,297
14|297|14|297|vc|4|2|71|2|71|69.0,0,0.150723,0,0,0,0,-3.76516e-07,0,0,0,False,69.0|71,297
14|297|14|297|vc|5|2|71|2|71|69.0,0,-0.0937036,0,0,0,0,1.42843e-07,0,0,0,False,69.0|71,297
14|297|14|297|vc|6|2|71|2|71|69.0,0,-0.0245127,0,0,0,0,-3.42615e-08,0,0,0,False,69.0|71,297
14|297|14|297|vc|7|2|71|2|71|69.0,0,-0.0441398,0,0,0,0,-2.07606e-07,0,0,0,False,69.0|71,297
14|297|14|297|vc|8|2|71|2|71|69.0,0,0.333242,0,0,0,0,-2.3177e-07,0,0,0,False,69.0|71,297
14|183|14|183|sample|4|233|4|233|6.0,0,-1.52353,0,0,0,0,-1.58997,0,0,0,True,6.0|233,183
14|183|14|183|sample|3|233|3|233|6.0,0,-1.69115,0,0,0,0,-1.78797,0,0,0,True,6.0|233,183
14|183|14|183|sample|6|233|6|233|6.0,0,-0.787658,0,0,0,0,-0.878751,0,0,0,True,6.0|233,183
14|183|14|183|sample|5|233|5|233|6.0,0,-0.779217,0,0,0,0,-0.822117,0,0,0,True,6.0|233,183
14|183|14|183|sample|7|233|7|233|6.0,0,-1.6423,0,0,0,0,-1.71343,0,0,0,True,6.0|233,183
14|183|14|183|sample|8|233|8|233|6.0,0,-1.82494,0,0,0,0,-1.7844,0,0,0,True,6.0|233,183
14|183|14|183|sample|10|233|10|233|6.0,0,-0.183602,0,0,0,0,-0.254681,0,0,0,True,6.0|233,183
14|183|14|183|sample|9|233|9|233|6.0,0,-0.528676,0,0,0,0,-0.596065,0,0,0,True,6.0|233,183
14|183|14|183|sample|12|233|12|233|6.0,0,-2.08357,0,0,0,0,-1.99121,0,0,0,True,6.0|233,183
14|183|14|183|sample|11|233|11|233|6.0,0,-2.24677,0,0,0,0,-2.19256,0,0,0,True,6.0|233,183
14|183|14|183|cc|1|1|233|1|233|69.0,0,0.0719999,0,0,0,0,1.3048e-07,0,0,0,False,69.0|233,183
14|183|14|183|cc|2|1|233|1|233|69.0,0,-0.370596,0,0,0,0,-5.18452e-08,0,0,0,False,69.0|233,183
14|183|14|183|cc|3|1|233|1|233|69.0,0,-0.220101,0,0,0,0,2.5145e-07,0,0,0,False,69.0|233,183
14|183|14|183|cc|4|1|233|1|233|69.0,0,0.212001,0,0,0,0,-1.06728e-07,0,0,0,False,69.0|233,183
14|183|14|183|cc|5|1|233|1|233|69.0,0,-0.248299,0,0,0,0,-1.65747e-07,0,0,0,False,69.0|233,183
14|183|14|183|cc|6|1|233|1|233|69.0,0,-0.0919333,0,0,0,0,-1.93047e-07,0,0,0,False,69.0|233,183
14|183|14|183|cc|7|1|233|1|233|69.0,0,-0.0666302,0,0,0,0,3.56501e-07,0,0,0,False,69.0|233,183
14|183|14|183|cc|8|1|233|1|233|69.0,0,0.43472,0,0,0,0,-6.00025e-09,0,0,0,False,69.0|233,183
14|183|14|183|vc|1|2|233|2|233|69.0,0,0.0117705,0,0,0,0,3.4222e-07,0,0,0,False,69.0|233,183
14|183|14|183|vc|2|2|233|2|233|69.0,0,-0.0208351,0,0,0,0,3.7912e-07,0,0,0,False,69.0|233,183
14|183|14|183|vc|3|2|233|2|233|69.0,0,0.158518,0,0,0,0,-1.26312e-07,0,0,0,False,69.0|233,183
